编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,据图判断，该地	北京时间16时地面吸收的太阳热量最大,None,7,,6,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京 时间 16时 地面 吸收 的 太阳 热量 最 大,P NN VV PU DT NN term time NN VV DEC NN NN AD VA,,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,0_6-7 1_13,0_6-7 1_13,时间限定 最值,时间限定 最值,7,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,P NN NN PU DT NN term time NN VV DEC NN NN AD VA,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 北京时间))) (CP (IP (NP (NT 16时)) (NP (NN 地面)) (VP (VV 吸收))) (DEC 的)) (NP (NN 太阳) (NN 热量))) (VP (ADVP (AD 最)) (VP (VA 大)))) )
16-C,观赏图中所示景观的最佳时间是	7、8月,None,10,,,,观赏 图 中 所示 景观 的 最 佳 时间 是 7、8月,观赏 图 中 所示 景观 的 最 佳 时间 是 7 、 8月,VV NN LC VV NN DEC AD JJ NN VC time,,最值_0（图中所示景观，观赏的最佳时间，7、8月，#）,最值_0（图中所示景观，观赏的最佳时间，7、8月，#）,0_6,0_6,最值,最值,12,,观赏 图 中 所示 景观 的 最 佳 时间 是 7 、 8月,观赏 图 中 所示 景观 的 最 佳 时间 是 7 、 8月,VV NN LC VV NN DEG AD JJ NN VC time,( (IP (NP (CP (IP (VP (VP (VV 观赏) (LCP (NP (NN 图)) (LC 中))) (VP (VV 所示) (NP (NN 景观))))) (DEC 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 佳))) (NP (NN 时间))) (VP (VC 是) (NP (NT 7、8月)))) )
16-D,观赏图中所示景观的最佳时间是	10、11月,None,10,,,,观赏 图 中 所示 景观 的 最 佳 时间 是 10、11月,观赏 图 中 所示 景观 的 最 佳 时间 是 10 、 11月,VV NN LC VV NN DEC AD JJ NN VC time,,最值_0（图中所示景观，观赏的最佳时间，10、11月，#）,最值_0（图中所示景观，观赏的最佳时间，10、11月，#）,0_6,0_6,最值,最值,12,,观赏 图 中 所示 景观 的 最 佳 时间 是 10 、 11月,观赏 图 中 所示 景观 的 最 佳 时间 是 10 、 11月,VV NN LC VV NN DEG AD JJ NN VC time,( (IP (NP (CP (IP (VP (VP (VV 观赏) (LCP (NP (NN 图)) (LC 中))) (VP (VV 所示) (NP (NN 景观))))) (DEC 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 佳))) (NP (NN 时间))) (VP (VC 是) (NP (NT 10、11月)))) )
17-A,河口附近的白沙受定向风吹拂形成新月形沙丘，该风是	东南风,None,,0,9 14,,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形沙丘 ， 该 风 是 东南风,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形 沙丘 ， 该 风 是 东南风,loc NN DEG NN VV NN NN VV VV term PU DT NN VC term,,因果_0（河口附近的白沙受定向风吹拂，河口附近的白沙形成新月形沙丘）匹配_1（该风，东南风）,因果_0（河口附近的白沙受定向风吹拂，河口附近的白沙形成新月形沙丘）匹配_1（该风，东南风）,0_8 1_11-13,0_8 1_11-13,因果 匹配,因果 匹配,,,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形 沙丘 ， 该 风 是 东南风,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形 沙丘 ， 该 风 是 东南风,loc NN DEG NN VV NN NN VV VV term PU DT NN VC term,( (IP (IP (IP (DNP (NP (NP (NR 河口)) (NP (NN 附近))) (DEG 的)) (IP (IP (NP (NN 白沙)) (VP (VV 受) (NP (NN 定向)))) (IP (NP (NN 风)) (VP (VV 吹拂))))) (VP (VV 形成) (NP (NN 新月形沙丘)))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 风))) (VP (VC 是) (NP (NN 东南风))))) )
17-B,河口附近的白沙受定向风吹拂形成新月形沙丘，该风是	西南风,None,,0,9 14,,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形沙丘 ， 该 风 是 西南风,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形 沙丘 ， 该 风 是 西南 风,loc NN DEG NN VV NN NN VV VV term PU DT NN VC term,,因果_0（河口附近的白沙受定向风吹拂，河口附近的白沙形成新月形沙丘）匹配_1（该风，西南风）,因果_0（河口附近的白沙受定向风吹拂，河口附近的白沙形成新月形沙丘）匹配_1（该风，西南风）,0_8 1_11-13,0_8 1_11-13,因果 匹配,因果 匹配,,,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形 沙丘 ， 该 风 是 西南 风,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形 沙丘 ， 该 风 是 西南 风,loc NN DEG NN VV NN NN VV VV term PU DT NN VC term,( (IP (IP (IP (DNP (NP (NP (NR 河口)) (NP (NN 附近))) (DEG 的)) (IP (IP (NP (NN 白沙)) (VP (VV 受) (NP (NN 定向)))) (IP (NP (NN 风)) (VP (VV 吹拂))))) (VP (VV 形成) (NP (NN 新月形沙丘)))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 风))) (VP (VC 是) (NP (NN 西南风))))) )
17-C,河口附近的白沙受定向风吹拂形成新月形沙丘，该风是	东北风,None,,0,9 14,,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形沙丘 ， 该 风 是 东北风,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形 沙丘 ， 该 风 是 东北 风,loc NN DEG NN VV NN NN VV VV term PU DT NN VC term,,因果_0（河口附近的白沙受定向风吹拂，河口附近的白沙形成新月形沙丘）匹配_1（该风，东北风）,因果_0（河口附近的白沙受定向风吹拂，河口附近的白沙形成新月形沙丘）匹配_1（该风，东北风）,0_8 1_11-13,0_8 1_11-13,因果 匹配,因果 匹配,,,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形 沙丘 ， 该 风 是 东北 风,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形 沙丘 ， 该 风 是 东北 风,loc NN DEG NN VV NN NN VV VV term PU DT NN VC term,( (IP (IP (IP (DNP (NP (NP (NR 河口)) (NP (NN 附近))) (DEG 的)) (IP (IP (NP (NN 白沙)) (VP (VV 受) (NP (NN 定向)))) (IP (NP (NN 风)) (VP (VV 吹拂))))) (VP (VV 形成) (NP (NN 新月形沙丘)))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 风))) (VP (VC 是) (NP (NN 东北风))))) )
17-D,河口附近的白沙受定向风吹拂形成新月形沙丘，该风是	西北风,None,,0,9 14,,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形沙丘 ， 该 风 是 西北风,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形 沙丘 ， 该 风 是 西北 风,loc NN DEG NN VV NN NN VV VV term PU DT NN VC term,,因果_0（河口附近的白沙受定向风吹拂，河口附近的白沙形成新月形沙丘）匹配_1（该风，西北风）,因果_0（河口附近的白沙受定向风吹拂，河口附近的白沙形成新月形沙丘）匹配_1（该风，西北风）,0_8 1_11-13,0_8 1_11-13,因果 匹配,因果 匹配,,,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形 沙丘 ， 该 风 是 西北 风,河口 附近 的 白沙 受 定向 风 吹拂 形成 新月形 沙丘 ， 该 风 是 西北 风,loc NN DEG NN VV NN NN VV VV term PU DT NN VC term,( (IP (IP (IP (DNP (NP (NP (NR 河口)) (NP (NN 附近))) (DEG 的)) (IP (IP (NP (NN 白沙)) (VP (VV 受) (NP (NN 定向)))) (IP (NP (NN 风)) (VP (VV 吹拂))))) (VP (VV 形成) (NP (NN 新月形沙丘)))) (PU ，) (IP (NP (DP (DT 该)) (NP (NN 风))) (VP (VC 是) (NP (NN 西北风))))) )
18-①,新市镇建设给香港带来的影响是	分散中心区人口压力,None,,0 3,,,新市镇 建设 给 香港 带来 的 影响 是 分散 中心区 人口 压力,新市镇 建设 给 香港 带来 的 影响 是 分散 中心区 人口 压力,loc NN P loc VV DEC NN VC VV NN NN NN,,,,,,,,,3,新市镇 建设 给 香港 带来 的 影响 是 分散 中心区 人口 压力,新市镇 建设 给 香港 带来 的 影响 是 分散 中心区 人口 压力,loc VV P loc VV DEC NN VC VV NN NN NN,( (IP (NP (CP (IP (NP (NR 新市镇) (NN 建设)) (VP (PP (P 给) (NP (NR 香港))) (VP (VV 带来)))) (DEC 的)) (NP (NN 影响))) (VP (VC 是) (IP (VP (VV 分散) (NP (NN 中心区) (NN 人口) (NN 压力)))))) )
18-②,新市镇建设给香港带来的影响是	扩大了城市的用地规模,None,,0 3,,,新市镇 建设 给 香港 带来 的 影响 是 扩大 了 城市 的 用地 规模,新市镇 建设 给 香港 带来 的 影响 是 扩大 了 城市 的 用地 规模,loc NN P loc VV DEC NN VC VV AS NN DEG NN NN,,,,,,,,,3,新市镇 建设 给 香港 带来 的 影响 是 扩大 了 城市 的 用地 规模,新市镇 建设 给 香港 带来 的 影响 是 扩大 了 城市 的 用地 规模,loc VV P loc VV DEC NN VC VV AS NN DEG NN NN,( (IP (NP (CP (IP (NP (NR 新市镇) (NN 建设)) (VP (PP (P 给) (NP (NR 香港))) (VP (VV 带来)))) (DEC 的)) (NP (NN 影响))) (VP (VC 是) (VP (VV 扩大) (AS 了) (NP (DNP (NP (NN 城市)) (DEG 的)) (NP (NN 用地) (NN 规模)))))) )
18-③,新市镇建设给香港带来的影响是	控制了外来人口迁入,None,,0 3,,,新市镇 建设 给 香港 带来 的 影响 是 控制 了 外来 人口 迁入,新市镇 建设 给 香港 带来 的 影响 是 控制 了 外来 人口 迁入,loc NN P loc VV DEC NN VC VV AS JJ NN VV,,,,,,,,,3,新市镇 建设 给 香港 带来 的 影响 是 控制 了 外来 人口 迁入,新市镇 建设 给 香港 带来 的 影响 是 控制 了 外来 人口 迁入,loc VV P loc VV DEC NN VC VV AS JJ NN VV,( (IP (NP (CP (IP (NP (NR 新市镇) (NN 建设)) (VP (PP (P 给) (NP (NR 香港))) (VP (VV 带来)))) (DEC 的)) (NP (NN 影响))) (VP (VC 是) (VP (VV 控制) (AS 了) (NP (ADJP (JJ 外来)) (NP (NN 人口))) (IP (VP (VV 迁入)))))) )
18-④,新市镇建设给香港带来的影响是	加速了逆城市化的进程,None,,0 3,,,新市镇 建设 给 香港 带来 的 影响 是 加速 了 逆城市化 的 进程,新市镇 建设 给 香港 带来 的 影响 是 加速 了 逆城市化 的 进程,loc VV P loc VV DEC NN VC VV AS NR DEG NN,,,,,,,,,3,新市镇 建设 给 香港 带来 的 影响 是 加速 了 逆城市化 的 进程,新市镇 建设 给 香港 带来 的 影响 是 加速 了 逆城市化 的 进程,loc VV P loc VV DEC NN VC VV AS NR DEG NN,( (IP (NP (NR 新市镇)) (VP (VP (VV 建设) (NP (CP (IP (VP (PP (P 给) (NP (NR 香港))) (VP (VV 带来)))) (DEC 的)) (NP (NN 影响)))) (VP (VC 是) (VP (VV 加速) (AS 了) (NP (DNP (NP (NR 逆城市化)) (DEG 的)) (NP (NN 进程))))))) )
19-A,随着香港“水泥森林”面积的扩大，城市	主导风向将发生明显改变,None,,1,,,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 主导 风向 将 发生 明显 改变,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 主导 风向 将 发生 明显 改变,P loc PU NN NN PU NN DEG NN PU NN JJ NN AD VV AD VV,,,,,,,,,1,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 主导 风向 将 发生 明显 改变,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 主导 风向 将 发生 明显 改变,P loc PU NN NN PU NN DEG NN PU NN VV NN AD VV AD VV,( (IP (PP (P 随着) (NP (NP (NR 香港)) (NP (PU “) (NN 水泥) (NN 森林) (PU ”)) (DNP (NP (NN 面积)) (DEG 的)) (NP (NN 扩大)))) (PU ，) (NP (NP (NN 城市)) (ADJP (JJ 主导)) (NP (NN 风向))) (VP (VP (ADVP (AD 将)) (VP (VV 发生))) (VP (ADVP (AD 明显)) (VP (VV 改变))))) )
19-B,随着香港“水泥森林”面积的扩大，城市	水循环受到影响,None,,1,,,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 水循环 受到 影响,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 水循环 受到 影响,P loc PU NN NN PU NN DEG NN PU NN NN VV NN,,,,,,,,,1,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 水循环 受到 影响,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 水循环 受到 影响,P loc PU NN NN PU NN DEG NN PU NN NN VV NN,( (IP (PP (P 随着) (NP (NP (NR 香港)) (NP (PU “) (NN 水泥) (NN 森林) (PU ”)) (DNP (NP (NN 面积)) (DEG 的)) (NP (NN 扩大)))) (PU ，) (IP (NP (NN 城市) (NN 水循环)) (VP (VV 受到) (NP (NN 影响))))) )
19-C,随着香港“水泥森林”面积的扩大，城市	空间结构将发生根本性变化,None,,1,,,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 空间 结构 将 发生 根本性 变化,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 空间 结构 将 发生 根本性 变化,P loc PU NN NN PU NN DEG NN PU NN NN NN AD VV JJ NN,,,,,,,,,1,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 空间 结构 将 发生 根本性 变化,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 空间 结构 将 发生 根本性 变化,P loc PU NN NN PU NN DEG NN PU NN NN NN AD VV JJ NN,( (IP (PP (P 随着) (NP (NP (NR 香港)) (NP (PU “) (NN 水泥) (NN 森林) (PU ”)) (DNP (NP (NN 面积)) (DEG 的)) (NP (NN 扩大)))) (PU ，) (NP (NN 城市) (NN 空间) (NN 结构)) (VP (ADVP (AD 将)) (VP (VV 发生) (NP (ADJP (JJ 根本性)) (NP (NN 变化)))))) )
19-D,随着香港“水泥森林”面积的扩大，城市	热岛效应会明显减弱,None,,1,,,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 热岛 效应 会 明显 减弱,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 热岛 效应 会 明显 减弱,P loc PU NN NN PU NN DEG NN PU NN NN NN VV AD VV,,,,,,,,,1,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 热岛效应 会 明显 减弱,随着 香港 “ 水泥 森林 ” 面积 的 扩大 ， 城市 热岛效应 会 明显 减弱,P loc PU NN NN PU NN DEG NN PU NN NN NN VV AD VV,( (IP (PP (P 随着) (NP (NP (NR 香港)) (NP (PU “) (NN 水泥) (NN 森林) (PU ”)) (DNP (NP (NN 面积)) (DEG 的)) (NP (NN 扩大)))) (PU ，) (NP (NP (NN 城市) (NN 热岛)) (NP (NN 效应))) (VP (VV 会) (VP (ADVP (AD 明显)) (VP (VV 减弱))))) )
20-A,图中四地	①地耕地以水田为主,None,,4,,,图 中 四 地 ①地 耕地 以 水田 为主,图 中 四 地 ①地 耕地 以 水田 为主,NN LC CD NN loc NN P NN VV,,,,,,,,1 2,,图 中四地 ①地 耕地 以 水田 为 主,图 中四地 ①地 耕地 以 水田 为 主,NN LC CD NN loc NN P NN VV NN,( (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (QP (CD 四)) (NP (NN 地))) (NP (NR ①地)) (NP (NN 耕地))) (VP (PP (P 以) (NP (NN 水田))) (VP (VV 为主)))) )
20-B,图中四地	②地农产品大量出口,None,,4,,,图 中 四 地 ②地 农产品 大量 出口,图 中 四 地 ②地 农产品 大量 出口,NN LC CD NN loc NN AD VV,,,,,,,,1 2,,图 中四地 ②地 农产品 大量 出口,图 中四地 ②地 农产品 大量 出口,NN LC CD NN loc NN AD NN,( (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (QP (CD 四)) (NP (NN 地))) (NP (NR ②地)) (NP (NN 农产品))) (VP (ADVP (AD 大量)) (VP (VV 出口)))) )
20-C,图中四地	③地农业生产规模大,None,,4,,,图 中 四 地 ③地 农业 生产 规模 大,图 中 四 地 ③地 农业 生产 规模 大,NN LC CD DEV loc NN NN NN VA,,,,,,,,1 2,,图 中四地 ③地 农业 生产 规模 大,图 中四地 ③地 农业 生产 规模 大,NN LC CD DEV loc NN NN NN VA,( (IP (VP (LCP (NP (NN 图)) (LC 中)) (VP (VP (DVP (QP (CD 四)) (DEV 地)) (VP (NP (NR ③地) (NN 农业) (NN 生产) (NN 规模)))) (VP (VA 大))))) )
20-D,图中四地	④地农作物一年一熟,None,,4,,,图 中 四 地 ④地 农作物 一年一熟,图 中 四 地 ④地 农作物 一年一熟,NN LC CD NN loc NN VA,,,,,,,,1 2,,图 中四地 ④地 农作物 一年 一熟,图 中四地 ④地 农作物 一年 一熟,NN LC CD NN loc NN AD VA,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (QP (CD 四)) (NP (NN 地))) (NP (NP (NR ④地)) (NP (NN 农作物))) (VP (VA 一年一熟))) )
21-A,四个农业区共同的区位优势是	总体地势平坦,None,,,,0,四个 农业区 共同 的 区位 优势 是 总体 地势 平坦,四个 农业区 共同 的 区位 优势 是 总体 地势 平坦,num NN JJ DEG NN NN VC NN NN VA,,,,,,,,,,四个 农业区 共同 的 区位 优势 是 总体 地势 平坦,四个 农业区 共同 的 区位 优势 是 总体 地势 平坦,num NN JJ DEG NN NN VC NN NN NN,( (IP (NP (NP (QP (CD 四个)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 优势))) (VP (VC 是) (IP (NP (NN 总体)) (NP (NN 地势)) (VP (VA 平坦))))) )
21-B,四个农业区共同的区位优势是	光热水组合好,None,,,,0,四个 农业区 共同 的 区位 优势 是 光 热 水 组合 好,四个 农业区 共同 的 区位 优势 是 光 热 水 组合 好,num NN JJ DEG NN NN VC NN NN NN VV VA,,,,,,,,,,四个 农业区 共同 的 区位 优势 是 光 热水 组合 好,四个 农业区 共同 的 区位 优势 是 光 热水 组合 好,num NN JJ DEG NN NN VC AD VA VV VA,( (IP (NP (NP (QP (CD 四个)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 优势))) (VP (VC 是) (IP (NP (NN 光) (NN 热) (NN 水)) (VP (VSB (VV 组合) (VA 好)))))) )
21-C,四个农业区共同的区位优势是	地广人稀，交通便利,y,,,,0,四个 农业区 共同 的 区位 优势 是 地广人稀 ， 交通 便利,四个 农业区 共同 的 区位 优势 是 地广人稀 ， 交通 便利,num NN JJ DEG NN NN VC VA PU NN VA,,,,,,,,,,四个 农业区 共同 的 区位 优势 是 地广人稀 ， 交通 便利,四个 农业区 共同 的 区位 优势 是 地广人稀 ， 交通 便利,num NN JJ DEG NN NN VC NN NN PU NN NN,( (IP (IP (NP (NP (QP (CD 四个)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 优势))) (VP (VC 是) (VP (VA 地广人稀)))) (PU ，) (IP (NP (NN 交通)) (VP (VA 便利)))) )
21-C-0,四个农业区共同的区位优势是	地广人稀,ed-ori,,,,0,四个 农业区 共同 的 区位 优势 是 地广人稀,四个 农业区 共同 的 区位 优势 是 地广人稀,num NN JJ DEG NN NN VC VA,,,,,,,,,,四个 农业区 共同 的 区位 优势 是 地广 人稀,四个 农业区 共同 的 区位 优势 是 地广 人稀,num NN JJ DEG NN NN VC NN NN,( (IP (NP (QP (CD 四个)) (NP (NN 农业区))) (NP (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 优势))) (VP (VC 是) (VP (VA 地广人稀)))) )
21-C-1,四个农业区共同的区位优势是	交通便利,ed-ori,,,,0,四个 农业区 共同 的 区位 优势 是 交通 便利,四个 农业区 共同 的 区位 优势 是 交通 便利,num NN JJ DEG NN NN VC NN VA,,,,,,,,,,四个 农业区 共同 的 区位 优势 是 交通 便利,四个 农业区 共同 的 区位 优势 是 交通 便利,num NN JJ DEG NN NN VC NN NN,( (IP (NP (NP (QP (CD 四个)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 优势))) (VP (VC 是) (IP (NP (NN 交通)) (VP (VA 便利))))) )
21-D,四个农业区共同的区位优势是	未开垦土地资源丰富,None,,,,0,四个 农业区 共同 的 区位 优势 是 未 开垦 土地 资源 丰富,四个 农业区 共同 的 区位 优势 是 未 开垦 土地 资源 丰富,num NN JJ DEG NN NN VC AD VV NN NN VA,,,,,,,,,,四个 农业区 共同 的 区位 优势 是 未 开垦 土地 资源 丰富,四个 农业区 共同 的 区位 优势 是 未 开垦 土地 资源 丰富,num NN JJ DEG NN NN VC AD VV NN NN VA,( (IP (NP (NP (QP (CD 四个)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 优势))) (VP (VC 是) (IP (NP (CP (IP (VP (ADVP (AD 未)) (VP (VV 开垦))))) (NP (NN 土地) (NN 资源))) (VP (VA 丰富))))) )
22-A,我国	粮食产量逐年提高,None,,,,,我国 粮食 产量 逐年 提高,我国 粮食 产量 逐年 提高,NR NN NN AD VV,,,,,,,,,,我国 粮食 产量 逐年 提高,我国 粮食 产量 逐年 提高,NR NN NN AD VV,( (IP (NP (NP (NR 我国)) (NP (NN 粮食) (NN 产量))) (VP (ADVP (AD 逐年)) (VP (VV 提高)))) )
22-B,我国	粮食产量增长速度波动下降,None,,,,,我国 粮食 产量 增长 速度 波动 下降,我国 粮食 产量 增长 速度 波动 下降,NR NN NN NN NN NN VV,,,,,,,,,,我国 粮食 产量 增长 速度 波动 下降,我国 粮食 产量 增长 速度 波动 下降,NR NN NN NN NN VV VV,( (IP (NP (NP (NR 我国)) (NP (NN 粮食) (NN 产量)) (NP (NN 增长) (NN 速度))) (NP (NN 波动)) (VP (VV 下降))) )
22-C,我国	2009年粮食产量明显下降,None,1,,,,我国 2009年 粮食 产量 明显 下降,我国 2009年 粮食 产量 明显 下降,NR time NN NN AD VV,,,,,,,,1,,我国 2009年 粮食 产量 明显 下降,我国 2009年 粮食 产量 明显 下降,NR time NN NN AD VV,( (IP (NP (NP (NR 我国)) (NP (NT 2009年)) (NP (NN 粮食) (NN 产量))) (VP (ADVP (AD 明显)) (VP (VV 下降)))) )
22-D,我国	2006年和2010年粮食增长量相同,None,1 3,,,,我国 2006年 和 2010年 粮食 增长量 相同,我国 2006年 和 2010年 粮食 增长量 相同,NR time CC time NN NN VA,,,,,,,,1 3,,我国 2006年 和 2010年 粮食 增长量 相同,我国 2006年 和 2010年 粮食 增长量 相同,NR time CC time NN NN VA,( (IP (NP (NR 我国)) (NP (NT 2006年) (CC 和) (NT 2010年)) (NP (NN 粮食) (NN 增长量)) (VP (VA 相同))) )
23-A,我国提高粮食产量的主要途径是	扩大耕地面积,None,,,,,我国 提高 粮食 产量 的 主要 途径 是 扩大 耕地 面积,我国 提高 粮食 产量 的 主要 途径 是 扩大 耕地 面积,NR VV NN NN DEG JJ NN VC VV NN NN,,,,,,,,,,我国 提高 粮食 产量 的 主要 途径 是 扩大 耕地 面积,我国 提高 粮食 产量 的 主要 途径 是 扩大 耕地 面积,NR VV NN NN DEG JJ NN VC VV NN NN,( (IP (NP (NR 我国)) (VP (VV 提高) (IP (NP (DNP (NP (NN 粮食) (NN 产量)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 途径))) (VP (VC 是) (IP (VP (VV 扩大) (NP (NN 耕地) (NN 面积)))))))) )
23-B,我国提高粮食产量的主要途径是	调整农业结构,None,,,,,我国 提高 粮食 产量 的 主要 途径 是 调整 农业 结构,我国 提高 粮食 产量 的 主要 途径 是 调整 农业 结构,NR VV NN NN DEG JJ NN VC VV NN NN,,,,,,,,,,我国 提高 粮食 产量 的 主要 途径 是 调整 农业 结构,我国 提高 粮食 产量 的 主要 途径 是 调整 农业 结构,NR VV NN NN DEG JJ NN VC VV NN NN,( (IP (NP (NR 我国)) (VP (VV 提高) (IP (NP (DNP (NP (NN 粮食) (NN 产量)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 途径))) (VP (VC 是) (IP (VP (VV 调整) (NP (NN 农业) (NN 结构)))))))) )
23-C,我国提高粮食产量的主要途径是	发展生态农业,None,,,,,我国 提高 粮食 产量 的 主要 途径 是 发展 生态 农业,我国 提高 粮食 产量 的 主要 途径 是 发展 生态 农业,NR VV NN NN DEG JJ NN VC VV NN NN,,,,,,,,,,我国 提高 粮食 产量 的 主要 途径 是 发展 生态 农业,我国 提高 粮食 产量 的 主要 途径 是 发展 生态 农业,NR VV NN NN DEG JJ NN VC VV NN NN,( (IP (NP (NR 我国)) (VP (VV 提高) (IP (NP (DNP (NP (NN 粮食) (NN 产量)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 途径))) (VP (VC 是) (IP (VP (VV 发展) (NP (NN 生态) (NN 农业)))))))) )
23-D,我国提高粮食产量的主要途径是	提高农业技术,None,,,,,我国 提高 粮食 产量 的 主要 途径 是 提高 农业 技术,我国 提高 粮食 产量 的 主要 途径 是 提高 农业 技术,NR VV NN NN DEG JJ NN VC VV NN NN,,,,,,,,,,我国 提高 粮食 产量 的 主要 途径 是 提高 农业 技术,我国 提高 粮食 产量 的 主要 途径 是 提高 农业 技术,NR VV NN NN DEG JJ NN VC VV NN NN,( (IP (NP (NR 我国)) (VP (VV 提高) (IP (NP (DNP (NP (NN 粮食) (NN 产量)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 途径))) (VP (VC 是) (IP (VP (VV 提高) (NP (NN 农业) (NN 技术)))))))) )
24-A,汽车零部件和专用车基地建在长春的主要原因是	地处沿海，水陆交通便利,y,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 地处 沿海 ， 水陆 交通 便利,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 地处 沿海 ， 水陆 交通 便利,NN NN CC NN NN VV NR DEG JJ NN VC VV NN PU NN NN VA,,,,,,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 地处 沿海 ， 水陆 交通 便利,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 地处 沿海 ， 水陆 交通 便利,NN NN CC NN NN VV NR DEG JJ NN VC VV NN PU NN NN NN,( (IP (NP (NP (NN 汽车) (NN 零部件)) (CC 和) (NP (NN 专用车) (NN 基地))) (VP (VV 建在) (IP (NP (DNP (NP (NR 长春)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (IP (VP (VV 地处) (NP (NN 沿海)))) (PU ，) (IP (NP (NN 水陆) (NN 交通)) (VP (VA 便利)))))))) )
