编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月5日13时31分,None,17,4 8,,10 12,当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分,当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月5日13时31分）,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月5日13时31分）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,17,,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月5日13时31分,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月5日13时31分)))) )
12-C,该地花岗岩石林地貌形成过程依次是	地壳抬升－岩浆侵入－固结成岩,None,,,2 9 11 13,,该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳抬升 － 岩浆侵入 － 固结成岩,该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳 抬升 － 岩浆 侵入 － 固结 成岩,DT NN term NN NN VV NN AD VC term PU term PU term,,排序_0（该地花岗岩石林地貌形成过程，，列表_1（地壳抬升，岩浆侵入，固结成岩））,排序_0（该地花岗岩石林地貌形成过程，，列表_1（地壳抬升，岩浆侵入，固结成岩））,0_7,0_7,排序 列表,排序 列表,,,该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳 抬升 － 岩浆侵入 － 固结成岩,该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳 抬升 － 岩浆侵入 － 固结成岩,DT NN term NN NN VV NN AD VC term PU term PU term,( (IP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 花岗岩) (NN 石林)) (NP (NN 地貌))) (VP (VP (VV 形成) (NP (NN 过程))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 地壳抬升) (PU －) (NN 岩浆侵入) (PU －) (NN 固结成岩)))))) )
12-D,该地花岗岩石林地貌形成过程依次是	风化、侵蚀－岩浆侵入－地壳抬升,None,,,2 9 11 13 15,,该 地 花岗岩 石林 地貌 形成 过程 依次 是 风化 、 侵蚀 － 岩浆侵入 － 地壳抬升,该 地 花岗岩 石林 地貌 形成 过程 依次 是 风化 、 侵蚀 － 岩浆 侵入 － 地壳 抬升,DT NN term NN NN VV NN AD VC term PU term PU term PU term,,排序_0（该地花岗岩石林地貌形成过程，，列表_1（风化&#44;侵蚀，岩浆侵入，地壳抬升））,排序_0（该地花岗岩石林地貌形成过程，，列表_1（风化&#44;侵蚀，岩浆侵入，地壳抬升））,0_7,0_7,排序 列表,排序 列表,,,该 地 花岗岩 石林 地貌 形成 过程 依次 是 风化 、 侵蚀 － 岩浆侵入 － 地壳 抬升,该 地 花岗岩 石林 地貌 形成 过程 依次 是 风化 、 侵蚀 － 岩浆侵入 － 地壳 抬升,DT NN term NN NN VV NN AD VC term PU term PU term PU term,( (IP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 花岗岩) (NN 石林)) (NP (NN 地貌))) (VP (VP (VV 形成) (NP (NN 过程))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 风化) (PU 、) (NN 侵蚀) (PU －) (NN 岩浆侵入) (PU －) (NN 地壳抬升)))))) )
13-A,该地质公园所处的地理环境具有明显的过渡性，表现为	森林向草原过渡,None,,,16,,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 森林 向 草原 过渡,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 森林 向 草原 过渡,DT NN NN VV DEC NN NN VV VA DEC NN PU VV VV NN P term VV,,趋势_0（地质公园所处的地理环境，过渡性，森林向草原）,趋势_0（地质公园所处的地理环境，过渡性，森林向草原）,0_10,0_10,趋势,趋势,,,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 森林 向 草原 过渡,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 森林 向 草原 过渡,DT NN NN NN DEG NN NN VV VA DEC NN PU VV VV NN P term VV,( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 地质) (NN 公园))) (VP (VV 所处))) (DEC 的)) (NP (NN 地理) (NN 环境))) (VP (VP (VV 具有) (NP (CP (IP (VP (VA 明显))) (DEC 的)) (NP (NN 过渡性)))) (PU ，) (VP (VRD (VV 表现) (VV 为)) (NP (NN 森林)) (IP (VP (PP (P 向) (NP (NN 草原))) (VP (VV 过渡))))))) )
13-B,该地质公园所处的地理环境具有明显的过渡性，表现为	湿润区向半湿润区过渡,None,,,14 16,,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 湿润区 向 半湿润区 过渡,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 湿润 区 向 半 湿润 区 过渡,DT NN NN VV DEC NN NN VV VA DEC NN PU VV VV term P term VV,,趋势_0（地质公园所处的地理环境，过渡性，湿润区向半湿润区过）,趋势_0（地质公园所处的地理环境，过渡性，湿润区向半湿润区过）,0_10,0_10,趋势,趋势,,,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 湿润 区向 半湿润 区 过渡,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 湿润 区向 半湿润 区 过渡,DT NN NN NN DEG NN NN VV VA DEC NN PU VV P term P term VV,( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 地质) (NN 公园))) (VP (VV 所处))) (DEC 的)) (NP (NN 地理) (NN 环境))) (VP (VP (VV 具有) (NP (CP (IP (VP (VA 明显))) (DEC 的)) (NP (NN 过渡性)))) (PU ，) (VP (VP (VRD (VV 表现) (VV 为)) (NP (NN 湿润区))) (VP (PP (P 向) (NP (NN 半湿润区))) (VP (VV 过渡)))))) )
13-C,该地质公园所处的地理环境具有明显的过渡性，表现为	水田向旱地过渡,None,,,,,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 水田 向 旱地 过渡,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 水田 向 旱地 过渡,DT NN NN VV DEC NN NN VV VA DEC NN PU VV VV NN P NN VV,,趋势_0（地质公园所处的地理环境，过渡性，水田向旱地）,趋势_0（地质公园所处的地理环境，过渡性，水田向旱地）,0_10,0_10,趋势,趋势,,,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 水田 向 旱地 过渡,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 水田 向 旱地 过渡,DT NN NN NN DEG NN NN VV VA DEC NN PU VV VV NN P NN VV,( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 地质) (NN 公园))) (VP (VV 所处))) (DEC 的)) (NP (NN 地理) (NN 环境))) (VP (VP (VV 具有) (NP (CP (IP (VP (VA 明显))) (DEC 的)) (NP (NN 过渡性)))) (PU ，) (VP (VP (VRD (VV 表现) (VV 为)) (NP (NN 水田))) (VP (PP (P 向) (NP (NN 旱地))) (VP (VV 过渡)))))) )
13-D,该地质公园所处的地理环境具有明显的过渡性，表现为	平原向山地过渡,None,,,16,,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 平原 向 山地 过渡,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 平原 向 山地 过渡,DT NN NN VV DEC NN NN VV VA DEC NN PU VV VV NN P term VV,,趋势_0（地质公园所处的地理环境，过渡性，平原向山地）,趋势_0（地质公园所处的地理环境，过渡性，平原向山地）,0_10,0_10,趋势,趋势,,,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 平原 向 山地 过渡,该 地质 公园 所处 的 地理 环境 具有 明显 的 过渡性 ， 表现 为 平原 向 山地 过渡,DT NN NN NN DEG NN NN VV VA DEC NN PU VV VV NN P term VV,( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 地质) (NN 公园))) (VP (VV 所处))) (DEC 的)) (NP (NN 地理) (NN 环境))) (VP (VP (VV 具有) (NP (CP (IP (VP (VA 明显))) (DEC 的)) (NP (NN 过渡性)))) (PU ，) (VP (VRD (VV 表现) (VV 为)) (NP (NN 平原)) (IP (VP (PP (P 向) (NP (NN 山地))) (VP (VV 过渡))))))) )
14-A,图示农业生产基地在发展的过程中存在相同制约因素的是	①②,None,,,,,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ②,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ②,VA NN NN NN P NN DEG NN LC VV VA NN NN DEC VC NN NN,,匹配_0（①在农业生产基地在发展的过程中存在的制约因素，②在农业生产基地在发展的过程中存在的制约因素）,匹配_0（实体信息陈述_1（①，农业生产基地发展过程中，制约因素），实体信息陈述_2（②，农业生产基地发展过程中，制约因素））,0_10,0_10,匹配,匹配 实体信息陈述,,,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ②,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ②,VV NN NN NN P NN DEG NN LC VV VA VV NN DEG VC NN PU,( (IP (NP (CP (IP (NP (CP (VP (VA 图示))) (NP (NN 农业) (NN 生产) (NN 基地))) (VP (PP (P 在) (LCP (NP (DNP (NP (NN 发展)) (DEG 的)) (NP (NN 过程))) (LC 中))) (VP (VV 存在) (NP (CP (VP (VA 相同))) (NP (NN 制约) (NN 因素)))))) (DEC 的))) (VP (VC 是) (NP (NN ①) (NN ②)))) )
14-B,图示农业生产基地在发展的过程中存在相同制约因素的是	②③,None,,,,,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ② ③,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ② ③,VA NN NN NN P NN DEG NN LC VV VA NN NN DEC VC NN NN,,匹配_0（③在农业生产基地在发展的过程中存在的制约因素，②在农业生产基地在发展的过程中存在的制约因素）,匹配_0（实体信息陈述_1（③，农业生产基地发展过程中，制约因素），实体信息陈述_2（②，农业生产基地发展过程中，制约因素））,0_10,0_10,匹配,匹配 实体信息陈述,,,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ② ③,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ② ③,VV NN NN NN P NN DEG NN LC VV VA VV NN DEG VC NN PU,( (IP (NP (CP (IP (NP (CP (VP (VA 图示))) (NP (NN 农业) (NN 生产) (NN 基地))) (VP (PP (P 在) (LCP (NP (DNP (NP (NN 发展)) (DEG 的)) (NP (NN 过程))) (LC 中))) (VP (VV 存在) (NP (CP (VP (VA 相同))) (NP (NN 制约) (NN 因素)))))) (DEC 的))) (VP (VC 是) (NP (NN ②) (NN ③)))) )
14-C,图示农业生产基地在发展的过程中存在相同制约因素的是	③④,None,,,,,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ③ ④,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ③ ④,VA NN NN NN P NN DEG NN LC VV VA NN NN DEC VC NN NN,,匹配_0（③在农业生产基地在发展的过程中存在的制约因素，④在农业生产基地在发展的过程中存在的制约因素）,匹配_0（实体信息陈述_1（③，农业生产基地发展过程中，制约因素），实体信息陈述_2（④，农业生产基地发展过程中，制约因素））,0_10,0_10,匹配,匹配 实体信息陈述,,,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ③ ④,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ③ ④,VV NN NN NN P NN DEG NN LC VV VA VV NN DEG VC NN PU,( (IP (NP (CP (IP (NP (CP (VP (VA 图示))) (NP (NN 农业) (NN 生产) (NN 基地))) (VP (PP (P 在) (LCP (NP (DNP (NP (NN 发展)) (DEG 的)) (NP (NN 过程))) (LC 中))) (VP (VV 存在) (NP (CP (VP (VA 相同))) (NP (NN 制约) (NN 因素)))))) (DEC 的))) (VP (VC 是) (NP (NN ③) (NN ④)))) )
14-D,图示农业生产基地在发展的过程中存在相同制约因素的是	①④,None,,,,,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ④,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ④,VA NN NN NN P NN DEG NN LC VV VA NN NN DEC VC NN NN,,匹配_0（①在农业生产基地在发展的过程中存在的制约因素，④在农业生产基地在发展的过程中存在的制约因素）,匹配_0（实体信息陈述_1（①，农业生产基地发展过程中，制约因素），实体信息陈述_2（④，农业生产基地发展过程中，制约因素））,0_10,0_10,匹配,匹配 实体信息陈述,,,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ④,图示 农业 生产 基地 在 发展 的 过程 中 存在 相同 制约 因素 的 是 ① ④,VV NN NN NN P NN DEG NN LC VV VA VV NN DEG VC NN PU,( (IP (NP (CP (IP (NP (CP (VP (VA 图示))) (NP (NN 农业) (NN 生产) (NN 基地))) (VP (PP (P 在) (LCP (NP (DNP (NP (NN 发展)) (DEG 的)) (NP (NN 过程))) (LC 中))) (VP (VV 存在) (NP (CP (VP (VA 相同))) (NP (NN 制约) (NN 因素)))))) (DEC 的))) (VP (VC 是) (NP (NN ①) (NN ④)))) )
15-A,⑤为黄土高原农业果业基地，其最大的生态效益是	防风固沙,None,,2,,,⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 防风固沙,⑤ 为 黄土 高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 防风固沙,NN VC VV NN NN NN PU PN AD VA DEC NN NN VC VV,,匹配_0（⑤，黄土高原农业果业基地）最值_1（黄土高原农业果业基地，生态效益，防风固沙）,匹配_0（⑤，黄土高原农业果业基地）最值_1（黄土高原农业果业基地，生态效益，防风固沙）,1_8 0_1,1_8 0_1,最值 匹配,最值 匹配,,,⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 防风 固沙,⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 防风 固沙,NN VC VV NN NN NN PU PN AD VA DEC NN NN VC VV,( (IP (IP (NP (NN ⑤)) (VP (VC 为) (NP (CP (IP (VV 黄土高原))) (NP (NN 农业) (NN 果业) (NN 基地))))) (PU ，) (IP (NP (NP (PN 其)) (CP (IP (VP (ADVP (AD 最)) (VP (VA 大)))) (DEC 的)) (NP (NN 生态) (NN 效益))) (VP (VC 是) (VP (VV 防风固沙))))) )
15-B,⑤为黄土高原农业果业基地，其最大的生态效益是	涵养水源,None,,2,,,⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 涵养 水源,⑤ 为 黄土 高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 涵养 水源,NN VC loc NN NN NN PU PN AD VA DEC NN NN VC VV NN,,最值_0（黄土高原农业果业基地，生态效益，涵养水源）匹配_1（⑤，黄土高原农业果业基地）,最值_0（黄土高原农业果业基地，生态效益，涵养水源）匹配_1（⑤，黄土高原农业果业基地）,0_8 1_1,0_8 1_1,最值 匹配,最值 匹配,,,⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 涵养 水源,⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 涵养 水源,NN VC loc NN NN NN PU PN AD VA DEC NN NN VC VV NN,( (IP (IP (NP (NN ⑤)) (VP (VC 为) (NP (NP (NR 黄土高原)) (NP (NN 农业) (NN 果业) (NN 基地))))) (PU ，) (IP (NP (NP (PN 其)) (CP (IP (VP (ADVP (AD 最)) (VP (VA 大)))) (DEC 的)) (NP (NN 生态) (NN 效益))) (VP (VC 是) (NP (IP (VP (VV 涵养))) (NP (NN 水源)))))) )
15-C,⑤为黄土高原农业果业基地，其最大的生态效益是	保持水土,None,,2,,,⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 保持 水土,⑤ 为 黄土 高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 保持 水土,NN VC loc NN NN NN PU PN AD VA DEC NN NN VC VV NN,,最值_0（黄土高原农业果业基地，生态效益，保持水土）匹配_1（⑤，黄土高原农业果业基地）,最值_0（黄土高原农业果业基地，生态效益，保持水土）匹配_1（⑤，黄土高原农业果业基地）,0_8 1_1,0_8 1_1,最值 匹配,最值 匹配,,,⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 保持 水土,⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 保持 水土,NN VC loc NN NN NN PU PN AD VA DEC NN NN VC VV NN,( (IP (IP (NP (NN ⑤)) (VP (VC 为) (NP (NP (NR 黄土高原)) (NP (NN 农业) (NN 果业) (NN 基地))))) (PU ，) (IP (NP (NP (PN 其)) (CP (IP (VP (ADVP (AD 最)) (VP (VA 大)))) (DEC 的)) (NP (NN 生态) (NN 效益))) (VP (VC 是) (IP (VP (VV 保持) (NP (NN 水土))))))) )
15-D,⑤为黄土高原农业果业基地，其最大的生态效益是	美化环境,None,,2,,,⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 美化 环境,⑤ 为 黄土 高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 美化 环境,NN VC loc NN NN NN PU PN AD VA DEC NN NN VC VV NN,,最值_0（黄土高原农业果业基地，生态效益，美化环境）匹配_1（⑤，黄土高原农业果业基地）,最值_0（黄土高原农业果业基地，生态效益，美化环境）匹配_1（⑤，黄土高原农业果业基地）,0_8 1_1,0_8 1_1,最值 匹配,最值 匹配,,,⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 美化 环境,⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 美化 环境,NN VC loc NN NN NN PU PN AD VA DEC NN NN VC VV NN,( (IP (IP (NP (NN ⑤)) (VP (VC 为) (NP (NP (NR 黄土高原)) (NP (NN 农业) (NN 果业) (NN 基地))))) (PU ，) (IP (NP (NP (PN 其)) (CP (IP (VP (ADVP (AD 最)) (VP (VA 大)))) (DEC 的)) (NP (NN 生态) (NN 效益))) (VP (VC 是) (VP (VV 美化) (NP (NN 环境)))))) )
16-A,⑥为畜牧奶业基地，其发展的优势区位因素主要是	靠近原料地,None,,,,,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 靠近 原料地,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 靠近 原料地,NN VC NN NN NN PU PN NN DEG NN NN NN AD VC VV NN,,匹配_1（⑥，畜牧奶业基地）实体信息陈述_0（畜牧奶业基地，优势区位因素，靠近原料地）,匹配_1（⑥，畜牧奶业基地）实体信息陈述_0（畜牧奶业基地，优势区位因素，靠近原料地）,1_1,1_1,实体信息陈述 匹配,实体信息陈述 匹配,,,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 靠近 原料 地,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 靠近 原料 地,NN VC NN NN NN PU PN NN DEG NN NN NN AD VC VV NN,( (IP (IP (NP (NN ⑥)) (VP (VC 为) (NP (NN 畜牧) (NN 奶业) (NN 基地)))) (PU ，) (IP (NP (NP (DNP (NP (NP (PN 其)) (NP (NN 发展))) (DEG 的)) (NP (NN 优势))) (NP (NN 区位) (NN 因素))) (VP (ADVP (AD 主要)) (VP (VC 是) (IP (VP (VV 靠近) (NP (NN 原料地)))))))) )
16-B,⑥为畜牧奶业基地，其发展的优势区位因素主要是	生态环境好,None,,,,,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 生态 环境 好,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 生态 环境 好,NN VC NN NN NN PU PN NN DEG NN NN NN AD VC NN NN VA,,匹配_1（⑥，畜牧奶业基地）实体信息陈述_0（畜牧奶业基地，优势区位因素，生态环境好）,匹配_1（⑥，畜牧奶业基地）实体信息陈述_0（畜牧奶业基地，优势区位因素，生态环境好）,1_1,1_1,实体信息陈述 匹配,实体信息陈述 匹配,,,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 生态 环境 好,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 生态 环境 好,NN VC NN NN NN PU PN NN DEG NN NN NN AD VC NN NN VA,( (IP (IP (NP (NN ⑥)) (VP (VC 为) (NP (NN 畜牧) (NN 奶业) (NN 基地)))) (PU ，) (IP (NP (NP (DNP (NP (NP (PN 其)) (NP (NN 发展))) (DEG 的)) (NP (NN 优势))) (NP (NN 区位) (NN 因素))) (VP (ADVP (AD 主要)) (VP (VC 是) (IP (NP (NN 生态) (NN 环境)) (VP (VA 好))))))) )
16-C,⑥为畜牧奶业基地，其发展的优势区位因素主要是	靠近市场,None,,,,,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 靠近 市场,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 靠近 市场,NN VC NN NN NN PU PN NN DEG NN NN NN AD VC VV NN,,匹配_1（⑥，畜牧奶业基地）实体信息陈述_0（畜牧奶业基地，优势区位因素，靠近市场）,匹配_1（⑥，畜牧奶业基地）实体信息陈述_0（畜牧奶业基地，优势区位因素，靠近市场）,1_1,1_1,实体信息陈述 匹配,实体信息陈述 匹配,,,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 靠近 市场,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 靠近 市场,NN VC NN NN NN PU PN NN DEG NN NN NN AD VC VV NN,( (IP (IP (NP (NN ⑥)) (VP (VC 为) (NP (NN 畜牧) (NN 奶业) (NN 基地)))) (PU ，) (IP (NP (NP (DNP (NP (NP (PN 其)) (NP (NN 发展))) (DEG 的)) (NP (NN 优势))) (NP (NN 区位) (NN 因素))) (VP (ADVP (AD 主要)) (VP (VC 是) (VP (VV 靠近) (NP (NN 市场))))))) )
16-D,⑥为畜牧奶业基地，其发展的优势区位因素主要是	劳动力廉价,None,,,,,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 劳动力 廉价,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 劳动力 廉价,NN VC NN NN NN PU PN NN DEG NN NN NN AD VC NN VA,,匹配_1（⑥，畜牧奶业基地）实体信息陈述_0（畜牧奶业基地，优势区位因素，劳动力廉价）,匹配_1（⑥，畜牧奶业基地）实体信息陈述_0（畜牧奶业基地，优势区位因素，劳动力廉价）,1_1,1_1,实体信息陈述 匹配,实体信息陈述 匹配,,,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 劳动力 廉价,⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 劳动力 廉价,NN VC NN NN NN PU PN NN DEG NN NN NN AD VC NN VA,( (IP (IP (NP (NN ⑥)) (VP (VC 为) (NP (NN 畜牧) (NN 奶业) (NN 基地)))) (PU ，) (IP (NP (NP (DNP (NP (NP (PN 其)) (NP (NN 发展))) (DEG 的)) (NP (NN 优势))) (NP (NN 区位) (NN 因素))) (VP (ADVP (AD 主要)) (VP (VC 是) (VP (NP (NN 劳动力)) (VP (VA 廉价))))))) )
17-A,据图可判断	①②③曲线依次表示雪线高度、降水量、气温,None,,,9,,据图 可 判断 ① ② ③ 曲线 依次 表示 雪线 高度 、 降水量 、 气温,据图 可 判断 ① ② ③ 曲线 依次 表示 雪线 高度 、 降水量 、 气温,NN VV VV NN NN NN NN AD VV term NN PU NN PU NN,,匹配_0（①，雪线高度）匹配_1（②，降水量）匹配_2（③，气温）,匹配_0（①，雪线高度）匹配_1（②，降水量）匹配_2（③，气温）,0_7 1_7 2_7,0_7 1_7 2_7,匹配,匹配,,,据图 可 判断 ① ② ③ 曲线 依次 表示 雪线 高度 、 降水量 、 气温,据图 可 判断 ① ② ③ 曲线 依次 表示 雪线 高度 、 降水量 、 气温,NN VV VV NN AD VV NN AD VV term NN PU NN PU NN,( (IP (IP (NP (NN 据图)) (VP (VV 可) (VP (VV 判断) (NP (NN ①) (NN ②))))) (NP (NN ③) (NN 曲线)) (VP (ADVP (AD 依次)) (VP (VV 表示) (NP (NP (NN 雪线)) (NP (NN 高度) (PU 、) (NN 降水量) (PU 、) (NN 气温)))))) )
17-B,据图可判断	多年平均雪线高度在南半球低纬度地区最大,None,,,9 10,,据 图 可 判断 多年 平均 雪线 高度 在 南半球 低纬度 地区 最 大,据 图 可 判断 多年 平均 雪线 高度 在 南半球 低 纬度 地区 最 大,P NN VV VV NN JJ NN NN P term term NN AD VA,,最值_0（多年平均雪线，高度，大，南半球）,最值_0（多年平均雪线，高度，大，南半球）,0_12,0_12,最值,最值,,9,据图 可 判断 多年 平均 雪线 高度 在 南半球 低 纬度 地区 最 大,据图 可 判断 多年 平均 雪线 高度 在 南半球 低 纬度 地区 最 大,NN VV VV NN JJ NN AD P term term NN AD VA,( (PP (P 据) (IP (NP (NN 图)) (VP (VV 可) (VP (VV 判断) (IP (NP (NP (NN 多年)) (ADJP (JJ 平均)) (NP (NN 雪线) (NN 高度))) (VP (PP (P 在) (NP (NP (NN 南半球) (NN 低纬度)) (NP (NN 地区)))) (ADVP (AD 最)) (VP (VA 大)))))))) )
17-C,据图可判断	中纬度地区雪线高度与降水量的变化基本一致,None,,,4,,据 图 可 判断 中纬度 地区 雪线 高度 与 降水量 的 变化 基本 一致,据 图 可 判断 中 纬度 地区 雪线 高度 与 降水量 的 变化 基本 一致,P NN VV VV term NN NN NN CC NN DEG NN AD VV,,匹配_0（中纬度地区雪线高度变化，中纬度地区降水量变化）,匹配_0（中纬度地区雪线高度变化，中纬度地区降水量变化）,0_13,0_13,匹配,匹配,,,据图 可 判断 中 纬度 地区 雪线 高度 与 降水量 的 变化 基本 一致,据图 可 判断 中 纬度 地区 雪线 高度 与 降水量 的 变化 基本 一致,NN VV VV term NN NN NN CC NN DEG NN AD VV,( (PP (P 据) (IP (NP (NN 图)) (VP (VV 可) (VP (VP (VV 判断) (NP (DNP (NP (NP (NP (NN 中纬度) (NN 地区)) (NP (NN 雪线))) (NP (NN 高度) (CC 与) (NN 降水量))) (DEG 的)) (NP (NN 变化)))) (VP (ADVP (AD 基本)) (VP (VV 一致))))))) )
