编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,该日，荷兰比北京	自转线速度快,None,,3 5,6,,该 日 ， 荷兰 比 北京 自转线速度 快,该 日 ， 荷兰 比 北京 自转 线速度 快,DT NN PU loc P loc term VA,,比较_0（荷兰，北京，自转线速度，快）,比较_0（荷兰，北京，自转线速度，快）,0_4,0_4,比较,比较,,3 5 6,该 日 ， 荷兰 比 北京 自转线速度 快,该 日 ， 荷兰 比 北京 自转线速度 快,DT M PU loc P loc term VA,( (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京) (NN 自转线速度))) (VP (VA 快)))) )
10-A-0,四个“硅谷”发展高新技术产业的共同优势是	位于中纬地区,ed-ori,,,13,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 位于 中纬 地区,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 位于 中纬 地区,CD PU NN PU VV JJ NN NN DEG JJ NN VC VV term NN,,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，位于中纬地区）,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，位于_3（四个“硅谷”，中纬地区））,,3_12,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述 位于,,13,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 位于 中纬 地区,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 位于 中纬 地区,CD PU NR PU VV JJ NN NN DEG JJ NN VC VV term NN,( (IP (IP (NP (QP (CD 四个)) (NP (PU “) (NN 硅谷) (PU ”))) (VP (VV 发展) (NP (DNP (NP (NP (ADJP (JJ 高新)) (NP (NN 技术))) (NP (NN 产业))) (DEG 的)) (ADJP (JJ 共同)) (NP (NN 优势))))) (VP (VC 是) (VP (VV 位于) (NP (NN 中纬) (NN 地区))))) )
10-A-1,四个“硅谷”发展高新技术产业的共同优势是	环境优美,ed-ori,,,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 环境 优美,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 环境 优美,CD PU NN PU VV JJ NN NN DEG JJ NN VC NN VA,,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，环境优美）,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，环境优美）,,0_12,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述 位于,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 环境 优美,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 环境 优美,CD PU NR PU VV JJ NN NN DEG JJ NN VC NN VA,( (IP (NP (DNP (NP (IP (NP (QP (CD 四个)) (NP (PU “) (NN 硅谷) (PU ”))) (VP (VV 发展) (NP (ADJP (JJ 高新)) (NP (NN 技术))))) (NP (NN 产业))) (DEG 的)) (ADJP (JJ 共同)) (NP (NN 优势))) (VP (VC 是) (IP (NP (NN 环境)) (VP (VA 优美))))) )
10-B,四个“硅谷”发展高新技术产业的共同优势是	海运发达，交通便捷,y,,,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 海运 发达 ， 交通 便捷,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 海运 发达 ， 交通 便捷,CD PU NN PU VV JJ NN NN DEG JJ NN VC NN VA PU NN VA,,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，海运发达）实体信息陈述_1（四个“硅谷”，发展高新技术产业的共同优势，交通便捷）,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，海运发达）实体信息陈述_1（四个“硅谷”，发展高新技术产业的共同优势，交通便捷）,,,实体信息陈述 实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述 实体信息陈述,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 海运 发达 ， 交通 便捷,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 海运 发达 ， 交通 便捷,CD PU NR PU VV JJ NN NN DEG JJ NN VC NN VA PU NN VA,( (IP (NP (DNP (NP (IP (NP (QP (CD 四个)) (NP (PU “) (NN 硅谷) (PU ”))) (VP (VV 发展) (NP (ADJP (JJ 高新)) (NP (NN 技术))))) (NP (NN 产业))) (DEG 的)) (ADJP (JJ 共同)) (NP (NN 优势))) (VP (VC 是) (IP (IP (NP (NN 海运)) (VP (VA 发达))) (PU ，) (IP (NP (NN 交通)) (VP (VA 便捷)))))) )
10-B-0,四个“硅谷”发展高新技术产业的共同优势是	海运发达,ed-ori,,,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 海运 发达,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 海运 发达,CD PU NN PU VV JJ NN NN DEG JJ NN VC NN VA,,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，海运发达）,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，海运发达）,,,实体信息陈述 实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述 实体信息陈述,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 海运 发达,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 海运 发达,CD PU NR PU VV JJ NN NN DEG JJ NN VC NN VA,( (IP (NP (DNP (NP (IP (NP (QP (CD 四个)) (NP (PU “) (NN 硅谷) (PU ”))) (VP (VV 发展) (NP (ADJP (JJ 高新)) (NP (NN 技术))))) (NP (NN 产业))) (DEG 的)) (ADJP (JJ 共同)) (NP (NN 优势))) (VP (VC 是) (IP (NP (NN 海运)) (VP (VA 发达))))) )
10-B-1,四个“硅谷”发展高新技术产业的共同优势是	交通便捷,ed-ori,,,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 交通 便捷,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 交通 便捷,CD PU NN PU VV JJ NN NN DEG JJ NN VC NN VA,,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，交通便捷）,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，交通便捷）,,,实体信息陈述 实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述 实体信息陈述,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 交通 便捷,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 交通 便捷,CD PU NR PU VV JJ NN NN DEG JJ NN VC NN VA,( (IP (NP (DNP (NP (IP (NP (QP (CD 四个)) (NP (PU “) (NN 硅谷) (PU ”))) (VP (VV 发展) (NP (ADJP (JJ 高新)) (NP (NN 技术))))) (NP (NN 产业))) (DEG 的)) (ADJP (JJ 共同)) (NP (NN 优势))) (VP (VC 是) (IP (NP (NN 交通)) (VP (VA 便捷))))) )
10-C,四个“硅谷”发展高新技术产业的共同优势是	依托科研机构，科技发达,y,,,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 依托 科研 机构 ， 科技 发达,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 依托 科研 机构 ， 科技 发达,CD PU NN PU VV JJ NN NN DEG JJ NN VC VV NN NN PU NN VA,,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，依托科研机构）实体信息陈述_1（四个“硅谷”，发展高新技术产业的共同优势，科技发达）,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，依托科研机构）实体信息陈述_1（四个“硅谷”，发展高新技术产业的共同优势，科技发达）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 依托 科研 机构 ， 科技 发达,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 依托 科研 机构 ， 科技 发达,CD PU NR PU VV JJ NN NN DEG JJ NN VC VV NN NN PU NN VA,( (IP (IP (NP (DNP (NP (IP (NP (QP (CD 四个)) (NP (PU “) (NN 硅谷) (PU ”))) (VP (VV 发展) (NP (ADJP (JJ 高新)) (NP (NN 技术))))) (NP (NN 产业))) (DEG 的)) (ADJP (JJ 共同)) (NP (NN 优势))) (VP (VC 是) (IP (VP (VV 依托) (NP (NN 科研) (NN 机构)))))) (PU ，) (IP (NP (NN 科技)) (VP (VA 发达)))) )
10-C-0,四个“硅谷”发展高新技术产业的共同优势是	依托科研机构,ed-ori,,,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 依托 科研 机构,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 依托 科研 机构,CD PU NN PU VV JJ NN NN DEG JJ NN VC VV NN NN,,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，依托科研机构）,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，依托科研机构）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 依托 科研 机构,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 依托 科研 机构,CD PU NR PU VV JJ NN NN DEG JJ NN VC VV NN NN,( (IP (NP (DNP (NP (IP (NP (QP (CD 四个)) (NP (PU “) (NN 硅谷) (PU ”))) (VP (VV 发展) (NP (ADJP (JJ 高新)) (NP (NN 技术))))) (NP (NN 产业))) (DEG 的)) (ADJP (JJ 共同)) (NP (NN 优势))) (VP (VC 是) (IP (VP (VV 依托) (NP (NN 科研) (NN 机构)))))) )
10-C-1,四个“硅谷”发展高新技术产业的共同优势是	科技发达,ed-ori,,,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 科技 发达,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 科技 发达,CD PU NN PU VV JJ NN NN DEG JJ NN VC NN VA,,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，科技发达）,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，科技发达）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 科技 发达,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 科技 发达,CD PU NR PU VV JJ NN NN DEG JJ NN VC NN VA,( (IP (NP (DNP (NP (IP (NP (QP (CD 四个)) (NP (PU “) (NN 硅谷) (PU ”))) (VP (VV 发展) (NP (ADJP (JJ 高新)) (NP (NN 技术))))) (NP (NN 产业))) (DEG 的)) (ADJP (JJ 共同)) (NP (NN 优势))) (VP (VC 是) (IP (NP (NN 科技)) (VP (VA 发达))))) )
10-D,四个“硅谷”发展高新技术产业的共同优势是	人口稠密，劳动力充足,y,,,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 人口 稠密 ， 劳动力 充足,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 人口 稠密 ， 劳动力 充足,CD PU NN PU VV JJ NN NN DEG JJ NN VC NN VA PU NN VA,,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，人口稠密）实体信息陈述_1（四个“硅谷”，发展高新技术产业的共同优势，劳动力充足）,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，人口稠密）实体信息陈述_1（四个“硅谷”，发展高新技术产业的共同优势，劳动力充足）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 人口 稠密 ， 劳动力 充足,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 人口 稠密 ， 劳动力 充足,CD PU NR PU VV JJ NN NN DEG JJ NN VC NN VA PU NN VA,( (IP (NP (DNP (NP (IP (NP (QP (CD 四个)) (NP (PU “) (NN 硅谷) (PU ”))) (VP (VV 发展) (NP (ADJP (JJ 高新)) (NP (NN 技术))))) (NP (NN 产业))) (DEG 的)) (ADJP (JJ 共同)) (NP (NN 优势))) (VP (VC 是) (IP (IP (NP (NN 人口)) (VP (VA 稠密))) (PU ，) (IP (NP (NN 劳动力)) (VP (VA 充足)))))) )
10-D-0,四个“硅谷”发展高新技术产业的共同优势是	人口稠密,ed-ori,,,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 人口 稠密,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 人口 稠密,CD PU NN PU VV JJ NN NN DEG JJ NN VC NN VA,,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，人口稠密）,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，人口稠密）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 人口 稠密,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 人口 稠密,CD PU NR PU VV JJ NN NN DEG JJ NN VC NN VA,( (IP (NP (DNP (NP (IP (NP (QP (CD 四个)) (NP (PU “) (NN 硅谷) (PU ”))) (VP (VV 发展) (NP (ADJP (JJ 高新)) (NP (NN 技术))))) (NP (NN 产业))) (DEG 的)) (ADJP (JJ 共同)) (NP (NN 优势))) (VP (VC 是) (IP (NP (NN 人口)) (VP (VA 稠密))))) )
10-D-1,四个“硅谷”发展高新技术产业的共同优势是	劳动力充足,ed-ori,,,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 劳动力 充足,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 劳动力 充足,CD PU NN PU VV JJ NN NN DEG JJ NN VC NN VA,,,,,,,,,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 劳动力 充足,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 劳动力 充足,CD PU NR PU VV JJ NN NN DEG JJ NN VC NN VA,( (IP (IP (NP (QP (CD 四个)) (NP (PU “) (NN 硅谷) (PU ”))) (VP (VV 发展) (NP (DNP (NP (NP (ADJP (JJ 高新)) (NP (NN 技术))) (NP (NN 产业))) (DEG 的)) (ADJP (JJ 共同)) (NP (NN 优势))))) (VP (VC 是) (VP (NP (NN 劳动力)) (VP (VA 充足))))) )
11-A,与1985—2000年相比，该流域2000—2010年水体面积大量减少的主要原因是	全球气候变暖，蒸发量增加,y,1 6,,,,与 1985—2000年 相比 ， 该 流域 2000—2010年 水体 面积 大量 减少 的 主要 原因 是 全球 气候 变暖 ， 蒸发量 增加,与 1985 — 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 全球 气候 变暖 ， 蒸发量 增加,P time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN NN VV PU NN VV,,因果_0（该流域2000—2010年比该流域1985—2000年水体面积减少，全球气候变暖） 因果_2（该流域2000—2010年比该流域1985—2000年水体面积减少，蒸发量增加）,因果_0（比较_1（时间限定_4（2000—2010年）该流域，时间限定_5（1985—2000年）该流域，水体面积，减少），实体信息陈述_8（全球气候，变暖）） 因果_2（比较_3（时间限定_6（2000—2010年）该流域，时间限定_7（1985—2000年）该流域，水体面积，减少），实体信息陈述_9（蒸发量，增加））,0_13 2_13,0_13 1_2 3_13 4_2,因果 因果,因果 比较 时间限定 实体信息陈述 实体信息陈述,1 6,,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 全球 气候 变暖 ， 蒸发量 增加,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 全球 气候 变暖 ， 蒸发量 增加,P time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN NN VV PU NN VV,( (IP (IP (VP (PP (P 与) (NP (NT 1985—2000年))) (VP (VV 相比)))) (PU ，) (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 流域))) (NP (NT 2000—2010年) (NN 水体) (NN 面积))) (VP (ADVP (AD 大量)) (VP (VV 减少)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 全球)) (IP (IP (NP (NN 气候)) (VP (VV 变暖))) (PU ，) (IP (NP (NN 蒸发量)) (VP (VV 增加))))))) )
11-A-0,与1985—2000年相比，该流域2000—2010年水体面积大量减少的主要原因是	全球气候变暖,ed-ori,1 6,,16,,与 1985—2000年 相比 ， 该 流域 2000—2010年 水体 面积 大量 减少 的 主要 原因 是 全球 气候 变暖,与 1985 — 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 全球 气候 变暖,P time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN term VV,,因果_0（比较_1（该流域2000—2010年，该流域1985—2000年，水体面积，减少），全球气候变暖） ,因果_0（比较_1（时间限定_4（2000—2010年）该流域，时间限定_5（1985—2000年）该流域，水体面积，减少），实体信息陈述_8（全球气候，变暖））,0_13 1_2,0_13 1_2 4_2,因果 比较,因果 比较 时间限定 实体信息陈述,1 6,,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 全球 气候 变暖,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 全球 气候 变暖,P time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN term NN,( (IP (IP (VP (PP (P 与) (NP (NT 1985—2000年))) (VP (VV 相比)))) (PU ，) (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 流域))) (NP (NT 2000—2010年) (NN 水体) (NN 面积))) (VP (ADVP (AD 大量)) (VP (VV 减少)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 全球)) (NP (NN 气候)) (VP (VV 变暖))))) )
11-A-1,与1985—2000年相比，该流域2000—2010年水体面积大量减少的主要原因是	蒸发量增加,ed-ori,2 7,,,,与 1985— 2000年 相比 ， 该 流域 2000—2010年 水体 面积 大量 减少 的 主要 原因 是 蒸发量 增加,与 1985 — 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 蒸发量 增加,P NT time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN VV,,因果_0（比较_1（该流域2000—2010年，该流域1985—2000年，水体面积，减少），蒸发量增加） ,因果_0（比较_1（时间限定_4（2000—2010年）该流域，时间限定_5（1985—2000年）该流域，水体面积，减少），实体信息陈述_8（蒸发量，增加））,0_13 1_2,0_13 1_2 4_2,因果 比较,因果 比较 时间限定 实体信息陈述,2 7,,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 蒸发量 增加,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 蒸发量 增加,P NT time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN VV,( (IP (IP (VP (PP (P 与) (NP (NT 1985—) (NT 2000年))) (VP (VV 相比)))) (PU ，) (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 流域))) (NP (NT 2000—2010年) (NN 水体) (NN 面积))) (VP (ADVP (AD 大量)) (VP (VV 减少)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 蒸发量)) (VP (VV 增加))))) )
11-B,与1985—2000年相比，该流域2000—2010年水体面积大量减少的主要原因是	耕地面积扩大，灌溉用水增多,y,1 6,,,,与 1985—2000年 相比 ， 该 流域 2000—2010年 水体 面积 大量 减少 的 主要 原因 是 耕地 面积 扩大 ， 灌溉 用水 增多,与 1985 — 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 耕地 面积 扩大 ， 灌溉 用水 增多,P time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN NN VV PU NN NN VV,,因果_0（比较_1（该流域2000—2010年，该流域1985—2000年，水体面积，减少），耕地面积扩大） 因果_2（比较_3（该流域2000—2010年，该流域1985—2000年，水体面积，减少），灌溉用水增多）,因果_0（比较_1（时间限定_4（2000—2010年）该流域，时间限定_5（1985—2000年）该流域，水体面积，减少），实体信息陈述_8（耕地面积，扩大）） 因果_2（比较_3（时间限定_6（2000—2010年）该流域，时间限定_7（1985—2000年）该流域，水体面积，减少），实体信息陈述_9（灌溉用水，增多））,0_13 1_2 2_13 3_2,0_13 1_2 2_13 3_2,因果 比较 因果 比较,因果 比较 因果 比较 时间限定 时间限定 实体信息陈述 实体信息陈述,1 6,,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 耕地 面积 扩大 ， 灌溉 用水 增多,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 耕地 面积 扩大 ， 灌溉 用水 增多,P time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN NN VV PU NN NN VV,( (IP (IP (VP (PP (P 与) (NP (NT 1985—2000年))) (VP (VV 相比)))) (PU ，) (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 流域))) (NP (NT 2000—2010年) (NN 水体) (NN 面积))) (VP (ADVP (AD 大量)) (VP (VV 减少)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (IP (NP (NN 耕地) (NN 面积)) (VP (VV 扩大))) (PU ，) (IP (NP (NN 灌溉) (NN 用水)) (VP (VV 增多)))))) )
11-B-0,与1985—2000年相比，该流域2000—2010年水体面积大量减少的主要原因是	耕地面积扩大,ed-ori,1 6,,,,与 1985—2000年 相比 ， 该 流域 2000—2010年 水体 面积 大量 减少 的 主要 原因 是 耕地 面积 扩大,与 1985 — 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 耕地 面积 扩大,P time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN NN VV,,因果_0（比较_1（该流域2000—2010年，该流域1985—2000年，水体面积，减少），耕地面积扩大） ,因果_0（比较_1（时间限定_4（2000—2010年）该流域，时间限定_5（1985—2000年）该流域，水体面积，减少），实体信息陈述_8（耕地面积，扩大））,0_13 1_2,0_13 1_2,因果 比较,因果 比较 时间限定 实体信息陈述,1 6,,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 耕地 面积 扩大,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 耕地 面积 扩大,P time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN NN VV,( (IP (IP (VP (PP (P 与) (NP (NT 1985—2000年))) (VP (VV 相比)))) (PU ，) (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 流域))) (NP (NT 2000—2010年) (NN 水体) (NN 面积))) (VP (ADVP (AD 大量)) (VP (VV 减少)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 耕地) (NN 面积)) (VP (VV 扩大))))) )
11-B-1,与1985—2000年相比，该流域2000—2010年水体面积大量减少的主要原因是	灌溉用水增多,ed-ori,1 6,,,,与 1985—2000年 相比 ， 该 流域 2000—2010年 水体 面积 大量 减少 的 主要 原因 是 灌溉 用水 增多,与 1985 — 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 灌溉 用水 增多,P time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN NN VV,,因果_0（比较_1（该流域2000—2010年，该流域1985—2000年，水体面积，减少），灌溉用水增多） ,因果_0（比较_1（时间限定_4（2000—2010年）该流域，时间限定_5（1985—2000年）该流域，水体面积，减少），实体信息陈述_8（灌溉用水，增多））,0_13 1_2,0_13 1_2,因果 比较,因果 比较 时间限定 实体信息陈述,1 6,,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 灌溉 用水 增多,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 灌溉 用水 增多,P time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN NN VV,( (IP (IP (VP (PP (P 与) (NP (NT 1985—2000年))) (VP (VV 相比)))) (PU ，) (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 流域))) (NP (NT 2000—2010年) (NN 水体) (NN 面积))) (VP (ADVP (AD 大量)) (VP (VV 减少)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 灌溉) (NN 用水)) (VP (VV 增多))))) )
11-C,与1985—2000年相比，该流域2000—2010年水体面积大量减少的主要原因是	城镇规模扩大，生活用水增加,y,1 6,,,,与 1985—2000年 相比 ， 该 流域 2000—2010年 水体 面积 大量 减少 的 主要 原因 是 城镇 规模 扩大 ， 生活 用水 增加,与 1985 — 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 城镇 规模 扩大 ， 生活 用水 增加,P time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN NN VV PU NN NN VV,,因果_0（比较_1（该流域2000—2010年，该流域1985—2000年，水体面积，减少），城镇规模扩大） 因果_2（比较_3（该流域2000—2010年，该流域1985—2000年，水体面积，减少），生活用水增加）,因果_0（比较_1（时间限定_4（2000—2010年）该流域，时间限定_5（1985—2000年）该流域，水体面积，减少），实体信息陈述_8（城镇规模，扩大）） 因果_2（比较_3（时间限定_6（2000—2010年）该流域，时间限定_7（1985—2000年）该流域，水体面积，减少），实体信息陈述_9（生活用水，增加））,0_13 1_2 2_13 3_2,0_13 1_2 2_13 3_2,因果 比较 因果 比较,因果 比较 因果 比较 时间限定 时间限定 实体信息陈述 实体信息陈述,1 6,,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 城镇 规模 扩大 ， 生活 用水 增加,与 1985— 2000年 相比 ， 该 流域 2000 — 2010年 水体 面积 大量 减少 的 主要 原因 是 城镇 规模 扩大 ， 生活 用水 增加,P time VV PU DT NN time NN NN AD VV DEC JJ NN VC NN NN VV PU NN NN VV,( (IP (IP (VP (PP (P 与) (NP (NT 1985—2000年))) (VP (VV 相比)))) (PU ，) (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 流域))) (NP (NT 2000—2010年) (NN 水体) (NN 面积))) (VP (ADVP (AD 大量)) (VP (VV 减少)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (IP (NP (NN 城镇) (NN 规模)) (VP (VV 扩大))) (PU ，) (IP (NP (NN 生活) (NN 用水)) (VP (VV 增加)))))) )
