编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,2010年10月1日18时59分57秒，我国“嫦娥二号”卫星在西昌点火升空，准确入轨。该卫星	到达了河外星系,None,0,9,20,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河外星系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外 星系,time PU NN PU NN NN PU NN P loc VV VV PU AD VV PU DT NN VV AS term,,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，到达了，河外星系）,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，到达了，河外星系）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,0,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外星 系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外星 系,time PU NR PU VV NN PU NN P loc NN VV PU AD VV PU DT NN VV AS term,( (IP (IP (NP (NT 2010年10月1日18时59分57秒)) (PU ，) (NP (NP (NP (NN 我国)) (NP (PU “) (NN 嫦娥) (NN 二号) (PU ”))) (NP (NN 卫星))) (VP (PP (P 在) (NP (NR 西昌))) (VP (VSB (VV 点火) (VV 升空))))) (PU ，) (IP (VP (ADVP (AD 准确)) (VP (VV 入轨)))) (PU 。) (IP (NP (DP (DT 该)) (NP (NN 卫星))) (VP (VV 到达) (AS 了) (NP (NN 河外星系))))) )
18-B,下列图中，与乙地的气候类型相似的是	【图片】,None,,5,,,下列 图 中 ， 与 乙地 的 气候 类型 相似 的 是 【 图片 】,下列 图 中 ， 与 乙地 的 气候 类型 相似 的 是 【 图片 】,JJ NN LC PU P loc DEG NN NN VA DEC VC PU NN PU,,比较_0（【图片】，乙地的气候类型，#，相似）,比较_0（【图片】，乙地的气候类型，#，相似）,0_9,0_9,比较,比较,,,下列 图 中 ， 与 乙地 的 气候类型 相似 的 是 【 图片 】,下列 图 中 ， 与 乙地 的 气候类型 相似 的 是 【 图片 】,JJ NN LC PU P loc DEG NN NN VA DEC VC PU NN PU,( (IP (LCP (NP (ADJP (JJ 下列)) (NP (NN 图))) (LC 中)) (PU ，) (NP (CP (IP (VP (PP (P 与) (NP (NP (DNP (NP (NR 乙地)) (DEG 的)) (NP (NN 气候))) (NP (NN 类型)))) (VP (VA 相似)))) (DEC 的))) (VP (VC 是)) (PRN (PU 【) (NP (NN 图片)) (PU 】))) )
18-C,下列图中，与乙地的气候类型相似的是	【图片】,None,,5,,,下列 图 中 ， 与 乙地 的 气候 类型 相似 的 是 【 图片 】,下列 图 中 ， 与 乙地 的 气候 类型 相似 的 是 【 图片 】,JJ NN LC PU P loc DEG NN NN VA DEC VC PU NN PU,,比较_0（【图片】，乙地的气候类型，#，相似）,比较_0（【图片】，乙地的气候类型，#，相似）,0_9,0_9,比较,比较,,,下列 图 中 ， 与 乙地 的 气候类型 相似 的 是 【 图片 】,下列 图 中 ， 与 乙地 的 气候类型 相似 的 是 【 图片 】,JJ NN LC PU P loc DEG NN NN VA DEC VC PU NN PU,( (IP (LCP (NP (ADJP (JJ 下列)) (NP (NN 图))) (LC 中)) (PU ，) (NP (CP (IP (VP (PP (P 与) (NP (NP (DNP (NP (NR 乙地)) (DEG 的)) (NP (NN 气候))) (NP (NN 类型)))) (VP (VA 相似)))) (DEC 的))) (VP (VC 是)) (PRN (PU 【) (NP (NN 图片)) (PU 】))) )
18-D,下列图中，与乙地的气候类型相似的是	【图片】,None,,5,,,下列 图 中 ， 与 乙地 的 气候 类型 相似 的 是 【 图片 】,下列 图 中 ， 与 乙地 的 气候 类型 相似 的 是 【 图片 】,JJ NN LC PU P loc DEG NN NN VA DEC VC PU NN PU,,比较_0（【图片】，乙地的气候类型，#，相似）,比较_0（【图片】，乙地的气候类型，#，相似）,0_9,0_9,比较,比较,,,下列 图 中 ， 与 乙地 的 气候类型 相似 的 是 【 图片 】,下列 图 中 ， 与 乙地 的 气候类型 相似 的 是 【 图片 】,JJ NN LC PU P loc DEG NN NN VA DEC VC PU NN PU,( (IP (LCP (NP (ADJP (JJ 下列)) (NP (NN 图))) (LC 中)) (PU ，) (NP (CP (IP (VP (PP (P 与) (NP (NP (DNP (NP (NR 乙地)) (DEG 的)) (NP (NN 气候))) (NP (NN 类型)))) (VP (VA 相似)))) (DEC 的))) (VP (VC 是)) (PRN (PU 【) (NP (NN 图片)) (PU 】))) )
19-①,台风多形成于	冬春季,None,4,,0,,台风 多 形成 于 冬春季,台风 多 形成 于 冬 春 季,term AD VV P time,,实体信息陈述_0（台风，多形成于，冬春季）,实体信息陈述_0（台风，多形成于，冬春季）,,,实体信息陈述,实体信息陈述,4,,台风 多 形成 于 冬 春季,台风 多 形成 于 冬春 季,term AD VV P time,( (IP (NP (NN 台风)) (VP (ADVP (AD 多)) (VP (VV 形成) (PP (P 于) (NP (NT 冬春季)))))) )
19-②,台风多形成于	夏秋季,None,4,,0,,台风 多 形成 于 夏秋季,台风 多 形成 于 夏 秋 季,term AD VV P time,,实体信息陈述_0（台风，多形成于，夏秋季）,实体信息陈述_0（台风，多形成于，夏秋季）,,,实体信息陈述,实体信息陈述,4,,台风 多 形成 于夏 秋季,台风 多 形成 于 夏秋 季,term AD VV P time,( (IP (NP (NN 台风)) (VP (ADVP (AD 多)) (VP (VV 形成) (PP (P 于) (NP (NT 夏秋季)))))) )
19-③,台风多形成于	低纬度洋面,None,,,0 4,,台风 多 形成 于 低纬度 洋面,台风 多 形成 于 低 纬度 洋面,term AD VV P term NN,,实体信息陈述_0（台风，多形成于，低纬度洋面）,实体信息陈述_0（台风，多形成于，低纬度洋面）,,,实体信息陈述,实体信息陈述,,,台风 多 形成 于 低 纬度 洋面,台风 多 形成 于 低 纬度 洋面,term AD VV P term NN,( (IP (NP (NN 台风)) (VP (ADVP (AD 多)) (VP (VV 形成) (PP (P 于) (NP (NN 低纬度) (NN 洋面)))))) )
19-④,台风多形成于	高纬度洋面,None,,,0 4,,台风 多 形成 于 高纬度 洋面,台风 多 形成 于 高 纬度 洋面,term AD VV P term NN,,实体信息陈述_0（台风，多形成于，高纬度洋面）,实体信息陈述_0（台风，多形成于，高纬度洋面）,,,实体信息陈述,实体信息陈述,,,台风 多 形成 于 高 纬度 洋面,台风 多 形成 于 高 纬度 洋面,term AD VV P term NN,( (IP (NP (NN 台风)) (VP (ADVP (AD 多)) (VP (VV 形成) (PP (P 于) (NP (NN 高纬度) (NN 洋面)))))) )
20-①,台风从形成、移动到登陆，主要涉及的水循环环节有	蒸发,None,,,0 11 14,,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 蒸发,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 蒸发,term P NN PU NN P NN PU AD VV DEC term NN VE term,,实体信息陈述_0（台风从形成、移动到登陆，主要涉及的水循环环节，蒸发）,实体信息陈述_0（台风从形成、移动到登陆，主要涉及的水循环环节，蒸发）,,,实体信息陈述,实体信息陈述,,,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 蒸发,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 蒸发,term P VV PU VV VV VV PU AD VV DEC term NN VE term,( (IP (IP (NP (NN 台风)) (VP (PP (PP (P 从) (NP (NN 形成) (PU 、) (NN 移动))) (PP (P 到) (NP (NN 登陆)))))) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 主要)) (VP (VV 涉及)))) (DEC 的)) (NP (NN 水循环) (NN 环节))) (VP (VE 有) (NP (NN 蒸发))))) )
20-②,台风从形成、移动到登陆，主要涉及的水循环环节有	地表径流,None,,,0 11 14,,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 地表径流,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 地表 径流,term P NN PU NN P NN PU AD VV DEC term NN VE term,,实体信息陈述_0（台风从形成、移动到登陆，主要涉及的水循环环节，地表径流）,实体信息陈述_0（台风从形成、移动到登陆，主要涉及的水循环环节，地表径流）,,,实体信息陈述,实体信息陈述,,,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 地表径流,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 地表径流,term P VV PU VV VV VV PU AD VV DEC term NN VE term,( (IP (IP (NP (NN 台风)) (VP (PP (PP (P 从) (NP (NN 形成) (PU 、) (NN 移动))) (PP (P 到) (NP (NN 登陆)))))) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 主要)) (VP (VV 涉及)))) (DEC 的)) (NP (NN 水循环) (NN 环节))) (VP (VE 有) (NP (NN 地表径流))))) )
20-③,台风从形成、移动到登陆，主要涉及的水循环环节有	水汽输送,None,,,0 11 14,,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 水汽输送,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 水汽 输送,term P NN PU NN P NN PU AD VV DEC term NN VE term,,实体信息陈述_0（台风从形成、移动到登陆，主要涉及的水循环环节，水汽输送）,实体信息陈述_0（台风从形成、移动到登陆，主要涉及的水循环环节，水汽输送）,,,实体信息陈述,实体信息陈述,,,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 水汽输送,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 水汽输送,term P VV PU VV VV VV PU AD VV DEC term NN VE term,( (IP (IP (NP (NN 台风)) (VP (PP (PP (P 从) (NP (NN 形成) (PU 、) (NN 移动))) (PP (P 到) (NP (NN 登陆)))))) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 主要)) (VP (VV 涉及)))) (DEC 的)) (NP (NN 水循环) (NN 环节))) (VP (VE 有) (NP (NN 水汽输送))))) )
20-④,台风从形成、移动到登陆，主要涉及的水循环环节有	下渗,None,,,0 11 14,,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 下渗,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 下渗,term P NN PU NN P NN PU AD VV DEC term NN VE term,,实体信息陈述_0（台风从形成、移动到登陆，主要涉及的水循环环节，下渗）,实体信息陈述_0（台风从形成、移动到登陆，主要涉及的水循环环节，下渗）,,,实体信息陈述,实体信息陈述,,,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 下渗,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 下渗,term P VV PU VV VV VV PU AD VV DEC term NN VE term,( (IP (IP (NP (NN 台风)) (VP (PP (PP (P 从) (NP (NN 形成) (PU 、) (NN 移动))) (PP (P 到) (NP (NN 登陆)))))) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 主要)) (VP (VV 涉及)))) (DEC 的)) (NP (NN 水循环) (NN 环节))) (VP (VE 有) (NP (NN 下渗))))) )
20-⑤,台风从形成、移动到登陆，主要涉及的水循环环节有	降水,None,,,0 11 14,,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 降水,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 降水,term P NN PU NN P NN PU AD VV DEC term NN VE term,,实体信息陈述_0（台风从形成、移动到登陆，主要涉及的水循环环节，降水）,实体信息陈述_0（台风从形成、移动到登陆，主要涉及的水循环环节，降水）,,,实体信息陈述,实体信息陈述,,,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 降水,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 降水,term P VV PU VV VV VV PU AD VV DEC term NN VE term,( (IP (IP (NP (NN 台风)) (VP (PP (PP (P 从) (NP (NN 形成) (PU 、) (NN 移动))) (PP (P 到) (NP (NN 登陆)))))) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 主要)) (VP (VV 涉及)))) (DEC 的)) (NP (NN 水循环) (NN 环节))) (VP (VE 有) (NP (NN 降水))))) )
20-⑥,台风从形成、移动到登陆，主要涉及的水循环环节有	地下径流,None,,,0 11 14,,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 地下径流,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 地下 径流,term P NN PU NN P NN PU AD VV DEC term NN VE term,,实体信息陈述_0（台风从形成、移动到登陆，主要涉及的水循环环节，地下径流）,实体信息陈述_0（台风从形成、移动到登陆，主要涉及的水循环环节，地下径流）,,,实体信息陈述,实体信息陈述,,,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 地下径流,台风 从 形成 、 移动 到 登陆 ， 主要 涉及 的 水循环 环节 有 地下径流,term P VV PU VV VV VV PU AD VV DEC term NN VE term,( (IP (IP (NP (NN 台风)) (VP (PP (PP (P 从) (NP (NN 形成) (PU 、) (NN 移动))) (PP (P 到) (NP (NN 登陆)))))) (PU ，) (IP (NP (CP (IP (VP (ADVP (AD 主要)) (VP (VV 涉及)))) (DEC 的)) (NP (NN 水循环) (NN 环节))) (VP (VE 有) (NP (NN 地下径流))))) )
21-①,从水循环的角度看，台风对地理环境的影响有	促进陆地水资源的更新,None,,,1 6,,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 促进 陆地 水资源 的 更新,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 促进 陆地 水资源 的 更新,P term DEG NN VV PU term P NN NN DEG NN VE VV NN NN DEG NN,,影响_0（台风，地理环境，促进陆地水资源的更新）,影响_0（台风，地理环境，促进陆地水资源的更新）,0_11-12,0_11-12,影响,影响,,,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 促进 陆地 水资源 的 更 新,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 促进 陆地 水资源 的 更 新,P term DEG NN VV PU term P NN NN DEG NN VE VV NN NN DEG NN,( (IP (IP (VP (PP (P 从) (NP (DNP (NP (NN 水循环)) (DEG 的)) (NP (NN 角度)))) (VP (VV 看)))) (PU ，) (NP (NP (NN 台风)) (DNP (PP (P 对) (NP (NN 地理) (NN 环境))) (DEG 的)) (NP (NN 影响))) (VP (VE 有) (NP (CP (IP (VP (VV 促进) (NP (NN 陆地) (NN 水资源)))) (DEG 的)) (NP (NN 更新))))) )
21-②,从水循环的角度看，台风对地理环境的影响有	促进高低纬度地区之间能量交换,None,,,1 6 15,,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 促进 高低 纬度 地区 之间 能量 交换,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 促进 高低 纬度 地区 之间 能量 交换,P term DEG NN VV PU term P NN NN DEG NN VE VV JJ term NN LC NN VV,,影响_0（台风，地理环境，促进高低纬度地区之间能量交换）,影响_0（台风，地理环境，促进高低纬度地区之间能量交换）,0_11-12,0_11-12,影响,影响,,,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 促进 高低 纬度 地区 之间 能量 交换,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 促进 高低 纬度 地区 之间 能量 交换,P term DEG NN VV PU term P NN NN DEG NN VE VV JJ term NN LC NN VV,( (IP (IP (VP (PP (P 从) (NP (DNP (NP (NN 水循环)) (DEG 的)) (NP (NN 角度)))) (VP (VV 看)))) (PU ，) (NP (NP (NN 台风)) (DNP (PP (P 对) (NP (NN 地理) (NN 环境))) (DEG 的)) (NP (NN 影响))) (VP (VE 有) (IP (NP (CP (IP (VP (VV 促进) (LCP (NP (NP (ADJP (JJ 高低)) (NP (NN 纬度))) (NP (NN 地区))) (LC 之间))))) (NP (NN 能量))) (VP (VV 交换))))) )
21-③,从水循环的角度看，台风对地理环境的影响有	塑造地表形态,None,,,1 6,,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 塑造 地表 形态,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 塑造 地表 形态,P term DEG NN VV PU term P NN NN DEG NN VE VV NN NN,,影响_0（台风，地理环境，塑造地表形态）,影响_0（台风，地理环境，塑造地表形态）,0_11-12,0_11-12,影响,影响,,,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 塑造 地表 形态,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 塑造 地表 形态,P term DEG NN VV PU term P NN NN DEG NN VE NN NN NN,( (IP (IP (VP (PP (P 从) (NP (DNP (NP (NN 水循环)) (DEG 的)) (NP (NN 角度)))) (VP (VV 看)))) (PU ，) (NP (NP (NN 台风)) (DNP (PP (P 对) (NP (NN 地理) (NN 环境))) (DEG 的)) (NP (NN 影响))) (VP (VE 有) (NP (CP (IP (VP (VV 塑造) (NP (NN 地表))))) (NP (NN 形态))))) )
21-④,从水循环的角度看，台风对地理环境的影响有	向海洋输送大量泥沙等物质,None,,,1 6,,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 向 海洋 输送 大量 泥沙 等 物质,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 向 海洋 输送 大量 泥沙 等 物质,P term DEG NN VV PU term P NN NN DEG NN VE P NN VV CD NN ETC NN,,影响_0（台风，地理环境，向海洋输送大量泥沙等物质）,影响_0（台风，地理环境，向海洋输送大量泥沙等物质）,0_11-12,0_11-12,影响,影响,,,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 向 海洋 输送 大量 泥沙 等 物质,从 水循环 的 角度 看 ， 台风 对 地理 环境 的 影响 有 向 海洋 输送 大量 泥沙 等 物质,P term DEG NN VV PU term P NN NN DEG NN VE P NN VV CD NN ETC NN,( (IP (IP (VP (PP (P 从) (NP (DNP (NP (NN 水循环)) (DEG 的)) (NP (NN 角度)))) (VP (VV 看)))) (PU ，) (NP (NP (NN 台风)) (DNP (PP (P 对) (NP (NN 地理) (NN 环境))) (DEG 的)) (NP (NN 影响))) (VP (VE 有) (NP (IP (VP (PP (P 向) (NP (NN 海洋))) (VP (VV 输送) (NP (QP (CD 大量)) (NP (NN 泥沙))))) (ETC 等)) (NP (NN 物质))))) )
22-A,图中主要由风力堆积作用形成的是	①,None,,,4,,图 中 主要 由 风力堆积作用 形成 的 是 ①,图 中 主要 由 风力 堆积 作用 形成 的 是 ①,NN LC AD P term VV DEC VC NN,,因果_0（风力堆积作用，形成 ①）,因果_0（风力堆积作用，形成 ①）,0_5,0_5,因果,因果,,,图 中 主要 由 风力堆积 作用 形成 的 是 ①,图 中 主要 由 风力堆积 作用 形成 的 是 ①,NN LC AD P term VV DEC VC NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (CP (IP (VP (ADVP (AD 主要)) (PP (P 由) (NP (NN 风力堆积作用))) (VP (VV 形成)))) (DEC 的))) (VP (VC 是) (NP (NN ①)))) )
22-B,图中主要由风力堆积作用形成的是	②,None,,,4,,图 中 主要 由 风力堆积作用 形成 的 是 ②,图 中 主要 由 风力 堆积 作用 形成 的 是 ②,NN LC AD P term VV DEC VC NN,,因果_0（风力堆积作用，形成 ②）,因果_0（风力堆积作用，形成 ②）,0_5,0_5,因果,因果,,,图 中 主要 由 风力堆积 作用 形成 的 是 ②,图 中 主要 由 风力堆积 作用 形成 的 是 ②,NN LC AD P term VV DEC VC NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (CP (IP (VP (ADVP (AD 主要)) (PP (P 由) (NP (NN 风力堆积作用))) (VP (VV 形成)))) (DEC 的))) (VP (VC 是) (NP (NN ②)))) )
22-C,图中主要由风力堆积作用形成的是	③,None,,,4,,图 中 主要 由 风力堆积作用 形成 的 是 ③,图 中 主要 由 风力 堆积 作用 形成 的 是 ③,NN LC AD P term VV DEC VC NN,,因果_0（风力堆积作用，形成 ③）,因果_0（风力堆积作用，形成 ③）,0_5,0_5,因果,因果,,,图 中 主要 由 风力堆积 作用 形成 的 是 ③,图 中 主要 由 风力堆积 作用 形成 的 是 ③,NN LC AD P term VV DEC VC NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (CP (IP (VP (ADVP (AD 主要)) (PP (P 由) (NP (NN 风力堆积作用))) (VP (VV 形成)))) (DEC 的))) (VP (VC 是) (NP (NN ③)))) )
22-D,图中主要由风力堆积作用形成的是	④,None,,,4,,图 中 主要 由 风力堆积作用 形成 的 是 ④,图 中 主要 由 风力 堆积 作用 形成 的 是 ④,NN LC AD P term VV DEC VC NN,,因果_0（风力堆积作用，形成 ④）,因果_0（风力堆积作用，形成 ④）,0_5,0_5,因果,因果,,,图 中 主要 由 风力堆积 作用 形成 的 是 ④,图 中 主要 由 风力堆积 作用 形成 的 是 ④,NN LC AD P term VV DEC VC NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (CP (IP (VP (ADVP (AD 主要)) (PP (P 由) (NP (NN 风力堆积作用))) (VP (VV 形成)))) (DEC 的))) (VP (VC 是) (NP (NN ④)))) )
23-A,图中③①②表示的地壳物质变化过程是	从变质岩到岩浆岩,None,,,13 15,,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 变质岩 到 岩浆岩,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 变质岩 到 岩浆岩,NN LC NN NN NN VV DEC NN NN NN NN VC P term P term,,实体信息陈述_0（③①②表示的地壳物质变化过程，是，从变质岩到岩浆岩）,实体信息陈述_0（③①②表示的地壳物质变化过程，是，从变质岩到岩浆岩）,,,实体信息陈述,实体信息陈述,,,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 变质岩 到 岩浆岩,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 变质岩 到 岩浆岩,NN LC VV NN AD VV DEC NN NN NN NN VC P term P term,( (IP (NP (CP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ③) (NN ①)) (NP (NN ②))) (VP (VV 表示))) (DEC 的)) (NP (NN 地壳)) (NP (NN 物质) (NN 变化) (NN 过程))) (VP (VC 是) (PP (PP (P 从) (NP (NN 变质岩))) (PP (P 到) (NP (NN 岩浆岩)))))) )
23-B,图中③①②表示的地壳物质变化过程是	从沉积岩到变质岩,None,,,13 15,,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 沉积岩 到 变质岩,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 沉积岩 到 变质岩,NN LC NN NN NN VV DEC NN NN NN NN VC P term P term,,实体信息陈述_0（③①②表示的地壳物质变化过程，是，从沉积岩到变质岩）,实体信息陈述_0（③①②表示的地壳物质变化过程，是，从沉积岩到变质岩）,,,实体信息陈述,实体信息陈述,,,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 沉积岩 到 变质岩,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 沉积岩 到 变质岩,NN LC VV NN AD VV DEC NN NN NN NN VC P term VV term,( (IP (NP (CP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ③) (NN ①)) (NP (NN ②))) (VP (VV 表示))) (DEC 的)) (NP (NN 地壳)) (NP (NN 物质) (NN 变化) (NN 过程))) (VP (VC 是) (PP (PP (P 从) (NP (NN 沉积岩))) (PP (P 到) (NP (NN 变质岩)))))) )
23-C,图中③①②表示的地壳物质变化过程是	从岩浆岩到沉积岩,None,,,13 15,,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 岩浆岩 到 沉积岩,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 岩浆岩 到 沉积岩,NN LC NN NN NN VV DEC NN NN NN NN VC P term P term,,实体信息陈述_0（③①②表示的地壳物质变化过程，是，从岩浆岩到沉积岩）,实体信息陈述_0（③①②表示的地壳物质变化过程，是，从岩浆岩到沉积岩）,,,实体信息陈述,实体信息陈述,,,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 岩浆岩 到 沉积 物,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 岩浆岩 到 沉积 物,NN LC VV NN AD VV DEC NN NN NN NN VC P term P term,( (IP (NP (CP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ③) (NN ①)) (NP (NN ②))) (VP (VV 表示))) (DEC 的)) (NP (NN 地壳)) (NP (NN 物质) (NN 变化) (NN 过程))) (VP (VC 是) (PP (PP (P 从) (NP (NN 岩浆岩))) (PP (P 到) (NP (NN 沉积岩)))))) )
23-D,图中③①②表示的地壳物质变化过程是	从岩浆岩到变质岩,None,,,13 15,,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 岩浆岩 到 变质岩,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 岩浆岩 到 变质岩,NN LC NN NN NN VV DEC NN NN NN NN VC P term P term,,实体信息陈述_0（③①②表示的地壳物质变化过程，是，从岩浆岩到变质岩）,实体信息陈述_0（③①②表示的地壳物质变化过程，是，从岩浆岩到变质岩）,,,实体信息陈述,实体信息陈述,,,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 岩浆岩 到 变质岩,图 中 ③ ① ② 表示 的 地壳 物质 变化 过程 是 从 岩浆岩 到 变质岩,NN LC VV NN AD VV DEC NN NN NN NN VC P term VV term,( (IP (NP (CP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ③) (NN ①)) (NP (NN ②))) (VP (VV 表示))) (DEC 的)) (NP (NN 地壳)) (NP (NN 物质) (NN 变化) (NN 过程))) (VP (VC 是) (PP (PP (P 从) (NP (NN 岩浆岩))) (PP (P 到) (NP (NN 变质岩)))))) )
24-A,下列工业部门中，属于动力导向型的是	照相机装配工业,None,,,,,下列 工业 部门 中 ， 属于 动力 导向型 的 是 照相机 装配 工业,下列 工业 部门 中 ， 属于 动力 导向型 的 是 照相机 装配 工业,JJ NN NN LC PU VV NN NN DEG VC NN NN NN,,实体信息陈述_0（照相机装配工业，属于，动力导向型）,实体信息陈述_0（照相机装配工业，属于，动力导向型）,,,实体信息陈述,实体信息陈述,,,下列 工业 部门 中 ， 属于 动力 导向型 的 是 照相机 装配 工业,下列 工业 部门 中 ， 属于 动力 导向型 的 是 照相机 装配 工业,JJ NN NN LC PU VV NN NN DEG VC NN NN NN,( (IP (LCP (NP (ADJP (JJ 下列)) (NP (NN 工业) (NN 部门))) (LC 中)) (PU ，) (NP (CP (IP (VP (VV 属于) (NP (NN 动力) (NN 导向型)))) (DEG 的))) (VP (VC 是) (NP (NN 照相机) (NN 装配) (NN 工业)))) )
