试卷名,编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
2003-北京,1-A,该船员拍摄照片时，P地的地方时为	22时,None,10,6,8,,该 船员 拍摄 照片 时 ， P地 的 地方时 为 22时,该 船员 拍摄 照片 时 ， P地 的 地方时 为 22时,DT NN VV NN LC PU loc DEG term VC time,,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，22时）,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，22时）,0_4 1_7-9,0_4 1_7-9,时间限定 实体信息陈述,时间限定 实体信息陈述,10,,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 22时,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 22时,DT NN VV NN LC PU loc DEG term VC time,( (IP (LCP (IP (NP (DP (DT 该)) (NP (NN 船员))) (VP (VV 拍摄) (NP (NN 照片)))) (LC 时)) (PU ，) (NP (DNP (NP (NR P地)) (DEG 的)) (NP (NN 地方时))) (VP (VC 为) (NP (NT 22时)))) )
北京市西城区2014届高三第一学期期末试卷,6-C,对图中各地天气状况的描述可能正确的是	③地晴朗高温,None,,13,,,对 图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ③地 晴朗 高温,对 图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ③地 晴朗 高温,P NN LC DT NN NN NN DEG NN VV VA DEC VC loc VA VA,,实体信息陈述_0（ ③地，#，晴朗高温）,实体信息陈述_0（ ③地，#，晴朗高温）,0_13,0_13,实体信息陈述,实体信息陈述,12,,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ③地 晴朗 高温,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ③地 晴朗 高温,NN LC DT NN NN NN DEG NN VV VA DEC VC loc VV NN,( (IP (NP (DNP (PP (P 对) (NP (LCP (NP (NN 图)) (LC 中)) (NP (DP (DT 各)) (NP (NN 地))) (NP (NN 天气) (NN 状况)))) (DEG 的)) (NP (NN 描述))) (VP (VV 可能) (VP (IP (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NR ③地)))) (VP (VA 晴朗) (VA 高温))))) )
北京市西城区2014届高三第一学期期末试卷,6-D,对图中各地天气状况的描述可能正确的是	④地吹偏南风,None,,12,14,,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ④地 吹 偏南风,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ④地 吹 偏南 风,NN LC DT NN NN NN DEG NN VV VA DEC VC loc VV term,,实体信息陈述_0（④地，#，吹偏南风 ）,实体信息陈述_0（④地，#，吹偏南风 ）,0_13,0_13,实体信息陈述,实体信息陈述,12,,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ④地 吹 偏南 风,对图 中 各 地 天气 状况 的 描述 可能 正确 的 是 ④地 吹 偏南 风,NN LC DT NN NN NN DEG NN VV VA DEC VC loc VV term,( (IP (NP (CP (IP (LCP (NP (NN 对图)) (LC 中)) (NP (DNP (NP (NP (DP (DT 各)) (NP (NN 地))) (NP (NN 天气) (NN 状况))) (DEG 的)) (NP (NN 描述))) (VP (VV 可能) (VP (VA 正确)))) (DEC 的))) (VP (VC 是) (IP (NP (NR ④地)) (VP (VV 吹) (NP (NN 偏南风)))))) )
北京市西城区2014届高三第一学期期末试卷,7-A,当A天气系统向东移动到B地时，该地	细雨连绵,None,,7,2,,当 A 天气系统 向 东 移动 到 B地 时 ， 该 地 细雨 连绵,当 A 天气 系统 向 东 移动 到 B地 时 ， 该 地 细雨 连绵,P NN term P NN VV VV loc LC PU DT NN NN VA,,影响_0（A天气系统向东移动到B地，该地，细雨连绵）,影响_0（A天气系统向东移动到B地，该地，细雨连绵）,0_0-7,0_0-7,影响,影响,,,当 A 天气 系统 向 东移 动到 B地 时 ， 该 地 细雨 连绵,当 A 天气 系统 向 东移 动到 B地 时 ， 该 地 细雨 连绵,P NN term P NR VV loc LC PU DT NN VV VV,( (IP (PP (P 当) (LCP (IP (NP (NN A) (NN 天气系统)) (VP (PP (P 向) (NP (NN 东))) (VP (VRD (VV 移动) (VV 到)) (NP (NR B地))))) (LC 时))) (PU ，) (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 细雨)) (VP (VA 连绵))) )
北京市西城区2014届高三第一学期期末试卷,7-B,当A天气系统向东移动到B地时，该地	风和日丽,None,,7,2,,当 A 天气系统 向 东 移动 到 B地 时 ， 该 地 风和日丽,当 A 天气 系统 向 东 移动 到 B地 时 ， 该 地 风和日丽,P NN term P NN VV VV loc LC PU DT NN VA,,影响_0（A天气系统向东移动到B地，该地，风和日丽）,影响_0（A天气系统向东移动到B地，该地，风和日丽）,0_0-7,0_0-7,影响,影响,,,当 A 天气 系统 向 东移 动到 B地 时 ， 该 地风 和 日丽,当 A 天气 系统 向 东移 动到 B地 时 ， 该 地风 和 日丽,P NN NN P NN VV VV NN LC PU DT NN CC VA,( (IP (PP (P 当) (LCP (IP (NP (NN A) (NN 天气系统)) (VP (PP (P 向) (NP (NN 东))) (VP (VRD (VV 移动) (VV 到)) (NP (NR B地))))) (LC 时))) (PU ，) (NP (DP (DT 该)) (NP (NN 地))) (VP (VA 风和日丽))) )
北京市西城区2014届高三第一学期期末试卷,7-C,当A天气系统向东移动到B地时，该地	大风降温,None,,7,2,,当 A 天气系统 向 东 移动 到 B地 时 ， 该 地 大风降温,当 A 天气 系统 向 东 移动 到 B地 时 ， 该 地 大风降温,P NN term P NN VV VV loc LC PU DT NN VA,,影响_0（A天气系统向东移动到B地，该地，大风降温）,影响_0（A天气系统向东移动到B地，该地，大风降温）,0_0-7,0_0-7,影响,影响,,,当 A 天气 系统 向 东移 动到 B地 时 ， 该 地 大风 降温,当 A 天气 系统 向 东移 动到 B地 时 ， 该 地 大风 降温,P NN NN P NN VV VV NN LC PU DT NN AD VV,( (IP (PP (P 当) (LCP (IP (NP (NN A) (NN 天气系统)) (VP (PP (P 向) (NP (NN 东))) (VP (VRD (VV 移动) (VV 到)) (NP (NR B地))))) (LC 时))) (PU ，) (NP (DP (DT 该)) (NP (NN 地))) (VP (VA 大风降温))) )
北京市西城区2014届高三第一学期期末试卷,7-D,当A天气系统向东移动到B地时，该地	万里无云,None,,7,2,,当 A 天气系统 向 东 移动 到 B地 时 ， 该 地 万里无云,当 A 天气 系统 向 东 移动 到 B地 时 ， 该 地 万里无云,P NN term P NN VV VV loc LC PU DT NN VA,,影响_0（A天气系统向东移动到B地，该地，万里无云）,影响_0（A天气系统向东移动到B地，该地，万里无云）,0_0-7,0_0-7,影响,影响,,,当 A 天气 系统 向 东移 动到 B地 时 ， 该 地 万里 无云,当 A 天气 系统 向 东移 动到 B地 时 ， 该 地 万里 无云,P NN NN P NN VV VV NN LC PU DT NN NR VA,( (IP (PP (P 当) (LCP (IP (NP (NN A) (NN 天气系统)) (VP (PP (P 向) (NP (NN 东))) (VP (VRD (VV 移动) (VV 到)) (NP (NR B地))))) (LC 时))) (PU ，) (NP (DP (DT 该)) (NP (NN 地))) (VP (VA 万里无云))) )
北京市西城区2014届高三第一学期期末试卷,8-A,影响红叶观赏指数的最主要因素是	降水,None,,,,,影响 红叶 观赏 指数 的 最 主要 因素 是 降水,影响 红叶 观赏 指数 的 最 主要 因素 是 降水,NN NN VV NN DEG AD JJ NN VC VV,,影响_0（降水，红叶观赏指数，#）,影响_0（降水，红叶观赏指数，#）,0_0-4-7,0_0-4-7,影响,影响,,,影响 红叶 观赏 指数 的 最 主要 因素 是 降水,影响 红叶 观赏 指数 的 最 主要 因素 是 降水,NN NN VV NN DEG AD JJ NN VC VV,( (IP (NP (DNP (NP (IP (NP (NN 影响) (NN 红叶)) (VP (VV 观赏))) (NP (NN 指数))) (DEG 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 主要))) (NP (NN 因素))) (VP (VC 是) (VP (VV 降水)))) )
北京市西城区2014届高三第一学期期末试卷,8-B,影响红叶观赏指数的最主要因素是	地形,None,,,,,影响 红叶 观赏 指数 的 最 主要 因素 是 地形,影响 红叶 观赏 指数 的 最 主要 因素 是 地形,VV NN NN NN DEG AD JJ NN VC NN,,影响_0（地形，红叶观赏指数，#）,影响_0（地形，红叶观赏指数，#）,0_0-4-7,0_0-4-7,影响,影响,,,影响 红叶 观赏 指数 的 最 主要 因素 是 地形,影响 红叶 观赏 指数 的 最 主要 因素 是 地形,NN NN VV NN DEG AD JJ NN VC NN,( (IP (IP (VP (VV 影响) (NP (DNP (NP (NP (NN 红叶) (NN 观赏)) (NP (NN 指数))) (DEG 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 主要))) (NP (NN 因素))))) (VP (VC 是) (NP (NN 地形)))) )
北京市西城区2014届高三第一学期期末试卷,8-C,影响红叶观赏指数的最主要因素是	风,None,,,,,影响 红叶 观赏 指数 的 最 主要 因素 是 风,影响 红叶 观赏 指数 的 最 主要 因素 是 风,VV NN NN NN DEG AD JJ NN VC NN,,影响_0（风，红叶观赏指数，#）,影响_0（风，红叶观赏指数，#）,0_0-4-7,0_0-4-7,影响,影响,,,影响 红叶 观赏 指数 的 最 主要 因素 是 风,影响 红叶 观赏 指数 的 最 主要 因素 是 风,NN NN VV NN DEG AD JJ NN VC NN,( (IP (IP (VP (VV 影响) (NP (DNP (NP (NP (NN 红叶) (NN 观赏)) (NP (NN 指数))) (DEG 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 主要))) (NP (NN 因素))))) (VP (VC 是) (NP (NN 风)))) )
北京市西城区2014届高三第一学期期末试卷,8-D,影响红叶观赏指数的最主要因素是	气温,None,,,,,影响 红叶 观赏 指数 的 最 主要 因素 是 气温,影响 红叶 观赏 指数 的 最 主要 因素 是 气温,VV NN NN NN DEG AD JJ NN VC NN,,影响_0（气温，红叶观赏指数，#）,影响_0（气温，红叶观赏指数，#）,0_0-4-7,0_0-4-7,影响,影响,,,影响 红叶 观赏 指数 的 最 主要 因素 是 气温,影响 红叶 观赏 指数 的 最 主要 因素 是 气温,NN NN VV NN DEG AD JJ NN VC NN,( (IP (IP (VP (VV 影响) (NP (DNP (NP (NP (NN 红叶) (NN 观赏)) (NP (NN 指数))) (DEG 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 主要))) (NP (NN 因素))))) (VP (VC 是) (NP (NN 气温)))) )
北京市西城区2014届高三第一学期期末试卷,9-A,当北京红叶进入观赏尾声时，将出现“万山红遍，层林尽染”景观的是	新疆喀纳斯,None,,1 20,,,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林 尽染 ” 景观 的 是 新疆喀纳斯,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林 尽染 ” 景观 的 是 新疆 喀纳斯,P loc NN VV NN NN LC PU AD VV PU NN VA PU NN VA PU NN DEG VC loc,,时间限定_0（北京红叶进入观赏尾声）实体信息陈述_1（新疆喀纳斯，#，出现“万山红遍，层林尽染”景观）,时间限定_0（北京红叶进入观赏尾声）实体信息陈述_1（新疆喀纳斯，#，出现“万山红遍，层林尽染”景观）,0_0-6 1_8-18-19,0_0-6 1_8-18-19,时间限定 实体信息陈述,时间限定 实体信息陈述,,1,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林尽染 ” 景观 的 是 新疆 喀纳斯,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林尽染 ” 景观 的 是 新疆 喀纳斯,P loc NN VV VV NN LC PU AD VV PU NR NN PU NN AD PU NN DEG VC loc,( (IP (PP (P 当) (LCP (IP (NP (NR 北京) (NN 红叶)) (VP (VV 进入) (NP (NN 观赏) (NN 尾声)))) (LC 时))) (PU ，) (NP (DNP (NP (CP (IP (IP (VP (ADVP (AD 将)) (VP (VV 出现)))) (PU “) (IP (NP (NN 万山)) (VP (VA 红遍))) (PU ，) (IP (NP (NN 层林)) (VP (VA 尽染))) (PU ”))) (NP (NN 景观))) (DEG 的))) (VP (VC 是) (NP (NR 新疆喀纳斯)))) )
北京市西城区2014届高三第一学期期末试卷,9-B,当北京红叶进入观赏尾声时，将出现“万山红遍，层林尽染”景观的是	吉林红叶谷,None,,1 20,,,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林 尽染 ” 景观 的 是 吉林红叶谷,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林 尽染 ” 景观 的 是 吉林 红叶谷,P loc NN VV NN NN LC PU AD VV PU NN VA PU NN VA PU NN DEG VC loc,,时间限定_0（北京红叶进入观赏尾声）实体信息陈述_1（吉林红叶谷，#，出现“万山红遍，层林尽染”景观）,时间限定_0（北京红叶进入观赏尾声）实体信息陈述_1（吉林红叶谷，#，出现“万山红遍，层林尽染”景观）,0_0-6 1_8-18-19,0_0-6 1_8-18-19,时间限定 实体信息陈述,时间限定 实体信息陈述,,1,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林尽染 ” 景观 的 是 吉林 红叶 谷,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林尽染 ” 景观 的 是 吉林 红叶 谷,P loc NN VV VV NN LC PU AD VV PU NR NN PU NN AD PU NN DEG VC loc,( (IP (PP (P 当) (LCP (IP (NP (NR 北京) (NN 红叶)) (VP (VV 进入) (NP (NN 观赏) (NN 尾声)))) (LC 时))) (PU ，) (NP (DNP (NP (CP (IP (IP (VP (ADVP (AD 将)) (VP (VV 出现)))) (PU “) (IP (NP (NN 万山)) (VP (VA 红遍))) (PU ，) (IP (NP (NN 层林)) (VP (VA 尽染))) (PU ”))) (NP (NN 景观))) (DEG 的))) (VP (VC 是) (NP (NR 吉林红叶谷)))) )
北京市西城区2014届高三第一学期期末试卷,9-C,当北京红叶进入观赏尾声时，将出现“万山红遍，层林尽染”景观的是	南京栖霞山,None,,1 20,,,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林 尽染 ” 景观 的 是 南京栖霞山,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林 尽染 ” 景观 的 是 南京 栖霞山,P loc NN VV NN NN LC PU AD VV PU NN VA PU NN VA PU NN DEG VC loc,,时间限定_0（北京红叶进入观赏尾声）实体信息陈述_1（南京栖霞山，#，出现“万山红遍，层林尽染”景观）,时间限定_0（北京红叶进入观赏尾声）实体信息陈述_1（南京栖霞山，#，出现“万山红遍，层林尽染”景观）,0_0-6 1_8-18-19,0_0-6 1_8-18-19,时间限定 实体信息陈述,时间限定 实体信息陈述,,1,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林尽染 ” 景观 的 是 南京 栖霞山,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林尽染 ” 景观 的 是 南京 栖霞 山,P loc NN VV VV NN LC PU AD VV PU NR NN PU NN AD PU NN DEG VC loc,( (IP (PP (P 当) (LCP (IP (NP (NR 北京) (NN 红叶)) (VP (VV 进入) (NP (NN 观赏) (NN 尾声)))) (LC 时))) (PU ，) (NP (DNP (NP (CP (IP (IP (VP (ADVP (AD 将)) (VP (VV 出现)))) (PU “) (IP (NP (NN 万山)) (VP (VA 红遍))) (PU ，) (IP (NP (NN 层林)) (VP (VA 尽染))) (PU ”))) (NP (NN 景观))) (DEG 的))) (VP (VC 是) (NP (NR 南京栖霞山)))) )
北京市西城区2014届高三第一学期期末试卷,9-D,当北京红叶进入观赏尾声时，将出现“万山红遍，层林尽染”景观的是	广东石门谷,None,,1 20,,,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林 尽染 ” 景观 的 是 广东石门谷,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林 尽染 ” 景观 的 是 广东 石门谷,P loc NN VV VV NN LC PU AD VV PU NN VA PU NN VA PU NN DEG VC loc,,时间限定_0（北京红叶进入观赏尾声）实体信息陈述_1（广东石门谷，#，出现“万山红遍，层林尽染”景观）,时间限定_0（北京红叶进入观赏尾声）实体信息陈述_1（广东石门谷，#，出现“万山红遍，层林尽染”景观）,0_0-6 1_8-19-20,0_0-6 1_8-19-20,时间限定 实体信息陈述,时间限定 实体信息陈述,,1,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林尽染 ” 景观 的 是 广东 石门 谷,当 北京 红叶 进入 观赏 尾声 时 ， 将 出现 “ 万山 红遍 ， 层林尽染 ” 景观 的 是 广东 石门 谷,P loc NN VV VV NN LC PU AD VV PU NR NN PU VV PU NN DEG VC loc,( (IP (PP (P 当) (LCP (IP (NP (NR 北京) (NN 红叶)) (VP (VV 进入) (VP (VV 观赏) (NP (NN 尾声))))) (LC 时))) (PU ，) (NP (DNP (NP (CP (IP (IP (VP (ADVP (AD 将)) (VP (VV 出现)))) (PU “) (IP (NP (NN 万山)) (VP (VA 红遍))) (PU ，) (IP (NP (NN 层林)) (VP (VA 尽染))) (PU ”))) (NP (NN 景观))) (DEG 的))) (VP (VC 是) (NP (NR 广东石门谷)))) )
北京市西城区2014届高三第一学期期末试卷,10-A,云南滑坡和泥石流	西部多发与地势起伏大有关,None,,0,1 3,,云南 滑坡 和 泥石流 西部 多发 与 地势 起伏 大 有关,云南 滑坡 和 泥石流 西部 多发 与 地势 起伏 大 有关,loc term CC term NN VA P NN NN VA VV,,影响_0（地势起伏大，云南西部，滑坡多发）影响_1（地势起伏大，云南西部，泥石流多发）,影响_0（地势起伏大，云南西部，滑坡多发）影响_1（地势起伏大，云南西部，泥石流多发）,0_6-10 1_6-10,0_6-10 1_6-10,影响,影响,,3 4,云南 滑坡 和 泥石流 西部 多发 与 地势 起伏 大有关,云南 滑坡 和 泥石流 西部 多发 与 地势 起伏 大有关,loc term CC term NN AD P NN VV JJ JJ,( (IP (NP (NP (NR 云南)) (NP (NN 滑坡) (CC 和) (NN 泥石流)) (NP (NN 西部))) (VP (VP (VA 多发)) (VP (PP (P 与) (NP (CP (IP (NP (NN 地势) (NN 起伏)) (VP (VA 大)))))) (VP (VV 有关))))) )
北京市西城区2014届高三第一学期期末试卷,10-B,云南滑坡和泥石流	东部次数少，由于处于喀斯特地貌区,n,,0,1 3,,云南 滑坡 和 泥石流 东部 次数 少 ， 由于 处于 喀斯特地貌区,云南 滑坡 和 泥石流 东部 次数 少 ， 由于 处于 喀斯特 地貌 区,loc term CC term NN NN VA PU P VV NR,,因果_0（云南东部处于喀斯特地貌区，滑坡次数少）因果_1（云南东部处于喀斯特地貌区，泥石流次数少）,因果_0（位于_2（云南东部，喀斯特地貌区），滑坡次数少）因果_1（位于_3（云南东部，喀斯特地貌区），泥石流次数少）,0_8 1_8,0_8 1_8 2_9 3_9,因果,因果 位于,,,云南 滑坡 和 泥石流 东部 次数 少 ， 由于 处于 喀斯特地貌区,云南 滑坡 和 泥石流 东部 次数 少 ， 由于 处于 喀斯特地貌区,loc term CC term NN NN VA PU P VV NR,( (IP (NP (NP (NR 云南)) (NP (NN 滑坡) (CC 和) (NN 泥石流))) (IP (IP (NP (NN 东部) (NN 次数)) (VP (VA 少))) (PU ，) (IP (VP (PP (P 由于)) (VP (VV 处于) (NP (NR 喀斯特地貌区))))))) )
北京市西城区2014届高三第一学期期末试卷,10-C,云南滑坡和泥石流	与降水的季节分配并不一致,None,,0,1 3,,云南 滑坡 和 泥石流 与 降水 的 季节 分配 并 不 一致,云南 滑坡 和 泥石流 与 降水 的 季节 分配 并 不 一致,loc term CC term CC NN DEG NN NN AD AD VV,,比较_0（云南，#，滑坡的季节分配，降水的季节分配，不一致）比较_1（云南，#，泥石流的季节分配，降水的季节分配，不一致）,比较_0（云南，#，滑坡的季节分配，降水的季节分配，不一致）比较_1（云南，#，泥石流的季节分配，降水的季节分配，不一致）,0_4-6-10-11 1_4-6-10-11,0_4-6-10-11 1_4-6-10-11,比较,比较,,,云南 滑坡 和 泥石流 与 降水 的 季节 分配 并 不 一致,云南 滑坡 和 泥石流 与 降水 的 季节 分配 并 不 一致,loc term CC term CC NN DEG NN NN AD AD VV,( (IP (NP (DNP (NP (NP (NR 云南)) (NP (NN 滑坡) (CC 和) (NN 泥石流) (CC 与) (NN 降水))) (DEG 的)) (NP (NN 季节) (NN 分配))) (VP (ADVP (AD 并)) (ADVP (AD 不)) (VP (VV 一致)))) )
北京市西城区2014届高三第一学期期末试卷,10-D,云南滑坡和泥石流	冬季几乎没有，主要原因是河流断流,n,4,0,1 3,,云南 滑坡 和 泥石流 冬季 几乎 没有 ， 主要 原因 是 河流 断流,云南 滑坡 和 泥石流 冬季 几乎 没有 ， 主要 原因 是 河流 断流,loc term CC term time AD VV PU JJ NN VC NN NN,,时间限定_2（冬季）因果_0（云南河流断流，几乎没有滑坡）因果_1（云南河流断流，几乎没有泥石流）,时间限定_2（冬季）因果_0（实体信息陈述_3（云南，#，河流断流），几乎没有滑坡）因果_1（实体信息陈述_4（云南，#，河流断流），几乎没有泥石流）,0_9 1_9 2_4,0_9 1_9 2_4,因果 时间限定,因果 时间限定 实体信息陈述,4,,云南 滑坡 和 泥石流 冬季 几乎 没有 ， 主要 原因 是 河流 断流,云南 滑坡 和 泥石流 冬季 几乎 没有 ， 主要 原因 是 河流 断流,loc term CC term time AD VV PU JJ NN VC NN NN,( (IP (NP (NP (NR 云南)) (NP (NN 滑坡) (CC 和) (NN 泥石流))) (VP (NP (NT 冬季)) (ADVP (AD 几乎)) (VP (VV 没有) (PU ，) (IP (NP (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (NP (NN 河流) (NN 断流))))))) )
北京市西城区2014届高三第一学期期末试卷,11-①,为应对滑坡、泥石流灾害，当地应采取的主要防灾减灾措施包括	危险地带居民点搬迁,None,,,2 4,,为 应对 滑坡 、 泥石流 灾害 ， 当地 应 采取 的 主要 防灾 减灾 措施 包括 危险 地带 居民点 搬迁,为 应对 滑坡 、 泥石流 灾害 ， 当地 应 采取 的 主要 防灾 减灾 措施 包括 危险 地带 居民点 搬迁,P VV term PU term NN PU NN VV VV DEC JJ NN NN NN VV NN NN NN VV,,措施_0（滑坡、泥石流灾害主要防灾减灾措施，危险地带居民点搬迁）,措施_0（滑坡、泥石流灾害主要防灾减灾措施，危险地带居民点搬迁）,0_1-14,0_1-14,措施,措施,,,为 应对 滑坡 、 泥石流 灾害 ， 当地 应 采取 的 主要 防灾 减灾 措施 包括 危险 地带 居民点 搬迁,为 应对 滑坡 、 泥石流 灾害 ， 当地 应 采取 的 主要 防灾 减灾 措施 包括 危险 地带 居民点 搬迁,P VV term PU term NN PU NN VV VV DEC JJ NN VV NN VV NN NN NN NN,( (IP (PP (P 为) (IP (VP (VV 应对) (NP (NP (NN 滑坡) (PU 、) (NN 泥石流)) (NP (NN 灾害)))))) (PU ，) (NP (CP (IP (NP (NN 当地)) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (ADJP (JJ 主要)) (NP (NN 防灾))) (NP (NN 减灾) (NN 措施))) (VP (VP (VV 包括) (NP (NP (NN 危险) (NN 地带)) (NP (NN 居民点)))) (VP (VV 搬迁)))) )
北京市西城区2014届高三第一学期期末试卷,11-②,为应对滑坡、泥石流灾害，当地应采取的主要防灾减灾措施包括	植树造林，保护生态环境,y,,,2 4,,为 应对 滑坡 、 泥石流 灾害 ， 当地 应 采取 的 主要 防灾 减灾 措施 包括 植树 造林 ， 保护 生态 环境,为 应对 滑坡 、 泥石流 灾害 ， 当地 应 采取 的 主要 防灾 减灾 措施 包括 植树 造林 ， 保护 生态 环境,P VV term PU term NN PU NN VV VV DEC JJ NN VV NN VV NN NN PU VV NN NN,,措施_0（滑坡、泥石流灾害主要防灾减灾措施，植树造林）措施_1（滑坡、泥石流灾害主要防灾减灾措施，保护生态环境）,措施_0（滑坡、泥石流灾害主要防灾减灾措施，植树造林）措施_1（滑坡、泥石流灾害主要防灾减灾措施，保护生态环境）,0_1-14 1_1-14,0_1-14 1_1-14,措施,措施,,,为 应对 滑坡 、 泥石流 灾害 ， 当地 应 采取 的 主要 防灾 减灾 措施 包括 植树 造林 ， 保护 生态 环境,为 应对 滑坡 、 泥石流 灾害 ， 当地 应 采取 的 主要 防灾 减灾 措施 包括 植树 造林 ， 保护 生态 环境,P VV term PU term NN PU NN VV VV DEC JJ NN VV NN VV NN NN PU VV NN NN,( (IP (PP (P 为) (IP (VP (VV 应对) (NP (NP (NN 滑坡) (PU 、) (NN 泥石流)) (NP (NN 灾害)))))) (PU ，) (NP (CP (IP (NP (CP (IP (NP (NN 当地)) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 防灾))) (VP (VV 减灾)))) (NP (NN 措施))) (VP (VP (VV 包括) (NP (NN 植树) (NN 造林))) (PU ，) (VP (VV 保护) (NP (NN 生态) (NN 环境))))) )
北京市西城区2014届高三第一学期期末试卷,11-②-0,为应对滑坡、泥石流灾害，当地应采取的主要防灾减灾措施包括	植树造林,ed-ori,,,2 4,,为 应对 滑坡 、 泥石流 灾害 ， 当地 应 采取 的 主要 防灾 减灾 措施 包括 植树 造林,为 应对 滑坡 、 泥石流 灾害 ， 当地 应 采取 的 主要 防灾 减灾 措施 包括 植树 造林,P VV term PU term NN PU NN VV VV DEC JJ NN NN NN VV NN NN,,措施_0（滑坡、泥石流灾害主要防灾减灾措施，植树造林）,措施_0（滑坡、泥石流灾害主要防灾减灾措施，植树造林）,0_1-14,0_1-14,措施,措施,,,为 应对 滑坡 、 泥石流 灾害 ， 当地 应 采取 的 主要 防灾 减灾 措施 包括 植树 造林,为 应对 滑坡 、 泥石流 灾害 ， 当地 应 采取 的 主要 防灾 减灾 措施 包括 植树 造林,P VV term PU term NN PU NN VV VV DEC JJ NN VV NN VV NN NN,( (IP (PP (P 为) (IP (VP (VV 应对) (NP (NP (NN 滑坡) (PU 、) (NN 泥石流)) (NP (NN 灾害)))))) (PU ，) (NP (CP (IP (NP (NN 当地)) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (ADJP (JJ 主要)) (NP (NN 防灾))) (NP (NN 减灾) (NN 措施))) (VP (VV 包括) (NP (NN 植树) (NN 造林)))) )
